4.620	24.40	A	Bi80
0.540	20.26	B	Gs98
0.540	20.15	B	
0.920	22.38	B	
0.963	23.01	B	
1.336	23.68	B	
1.357	23.02	B	
2.500	24.80	B	
4.000	24.70	B	
4.730	24.40	B	
0.500	19.84	C	Gs82b
0.600	20.87	C	
0.700	21.59	C	
0.800	22.23	C	
0.900	22.48	C	
1.000	22.89	C	
1.100	22.99	C	
1.200	23.24	C	
3.450	25.00	D	Gs83b
4.620	25.60	D	
5.770	24.00	D	
8.020	22.40	D	
9.970	21.10	D	
