,Isotope,Decay Energy (keV),Half-life (seconds)
172,78Zn,2675.3,3.2e-07
173,78Ga,498.9,1.1e-07
174,78Br,32.32,1.1300000000000002e-08
175,78Br,180.89,0.0001194
176,78Br,227.67,8.400000000000001e-08
177,78Br,242.82,1.7e-08
178,78Rb,46.84,9.1e-07
179,78Rb,111.19,344.40000000000003
180,79Ge,185.95,39.0
181,79As,772.81,1.18e-06
182,79Se,95.77,235.2
183,79Br,207.2,5.1
184,79Kr,129.77,50.0
185,79Kr,147.06,7.870000000000001e-08
186,79Rb,39.37,2.05e-08
187,79Rb,96.76,1.86e-08
188,79Sr,177.3,2e-08
189,80Ga,22.45,1.3
190,80Ga,707.9,1.8300000000000002e-08
191,80Br,85.843,15913.8
192,80Rb,493.9,1.6299999999999999e-06
193,80Rb,650.7,1.3900000000000002e-08
194,80Y,228.5,4.8
195,80Y,312.6,4.7e-06
196,81Ge,679.14,7.6
197,81Se,102.966,3436.8
198,81Br,536.2,3.46e-05
199,81Kr,190.64,13.1
200,81Rb,86.31,1830.0
201,81Sr,79.23,3.8999999999999997e-07
202,81Sr,89.05,6.4e-06
203,81Sr,119.76,2.4000000000000003e-08
204,82Ga,141.0,9.8e-08
205,82As,132.1,13.6
206,82Br,45.9492,367.8
207,82Rb,69.0,23299.2
208,82Rb,192.2,1.2300000000000001e-08
209,82Y,401.1,1.1000000000000001e-08
210,82Y,402.63,2.68e-07
211,82Y,405.76,3.53e-08
212,82Y,507.5,1.47e-07
213,82Nb,1180.0,9.300000000000001e-08
214,83Se,228.5,70.1
215,83Br,3068.8,7e-07
216,83Kr,9.4053,1.5694e-07
217,83Kr,41.5569,6660.0
218,83Rb,5.26,7.15e-08
219,83Rb,42.11,0.0003
220,83Sr,259.15,4.95
221,83Y,61.98,171.0
222,83Zr,52.72,5.3e-07
223,83Zr,77.04,1.3200000000000002e-07
224,84Br,320.0,360.0
225,84Kr,3236.07,1.83e-06
226,84Kr,5373.4,4.370000000000001e-08
227,84Rb,463.59,1215.6000000000001
