,Isotope,Decay Energy (keV),Half-life (seconds)
752,128In,285.1,0.72
753,128In,1797.6,0.3
754,128Sn,2091.5,6.5
755,128Sn,2491.89,2.91e-06
756,128Sn,4099.5,2.2e-07
757,128Sb,1617.0,2.1700000000000002e-07
758,128Sb,1769.0,5.000000000000001e-07
759,128I,133.6107,1.2300000000000001e-08
760,128I,137.851,8.45e-07
761,128I,167.368,1.7500000000000002e-07
762,128Xe,2787.2,7.800000000000001e-08
763,129Cd,343.0,0.157
764,129Cd,1940.0,0.0036000000000000003
765,129In,450.72,1.16
766,129In,1630.0,0.65
767,129In,1687.97,1.09e-05
768,129In,1911.0,0.098
769,129Sn,35.15,414.0
770,129Sn,1761.6,3.3999999999999996e-06
771,129Sn,1802.6,2.22e-06
772,129Sn,2552.9,2.1700000000000002e-07
773,129Sb,1851.31,1062.0
774,129Sb,1861.06,2.2e-06
775,129Sb,2139.4,9.1e-07
776,129Te,105.51,2909088.0
777,129Te,2137.83,3.3000000000000004e-08
778,129I,27.793,1.68e-08
779,129Xe,236.14,767232.0000000001
780,129Cs,6.545,7.200000000000001e-08
781,129Cs,575.4,7.179999999999999e-07
782,129Ba,8.42,7685.999999999999
783,129Ba,182.04,1.52e-08
784,129Ba,2462.6,4.7000000000000004e-08
785,129La,172.33,0.56
786,129Ce,107.6,6.000000000000001e-08
787,130Cd,2129.6,2.48e-07
788,130In,58.6,0.534
789,130In,385.5,0.534
790,130In,388.47,4.2999999999999995e-06
791,130Sn,1946.88,102.0
792,130Sn,2084.84,5.2e-08
793,130Sn,2434.79,1.502e-06
794,130Sb,4.8,378.0
795,130Sb,84.7,8e-07
796,130Sb,1508.0,6e-07
797,130Sb,1544.7,1.2499999999999999e-06
798,130Te,2146.41,1.11e-07
799,130Te,2664.7,1.8999999999999998e-06
800,130Te,4373.9,5.3000000000000005e-08
801,130I,39.9525,534.6
802,130I,69.5865,1.33e-07
803,130I,82.396,3.15e-07
804,130I,85.1099,2.54e-07
805,130Cs,163.25,207.6
806,130Ba,2475.12,0.0094
807,130La,131.01,7.7e-08
808,130La,214.0,7.599999999999999e-07
809,130La,319.1,3.3000000000000004e-08
810,130Ce,2453.6,1.0000000000000001e-07
811,131In,375.0,0.328
812,131In,3771.0,0.322
813,131In,3783.6,6.85e-07
814,131Sn,65.1,58.4
815,131Sb,1676.06,6.4e-05
816,131Sb,1687.2,4.2999999999999995e-06
817,131Sb,2165.6,9.7e-07
818,131Te,182.258,116927.99999999999
819,131Te,1940.0,0.093
820,131I,1918.4,2.4e-05
821,131I,2350.3,4.2000000000000006e-08
822,131I,4307.4,2.5000000000000002e-08
823,131Xe,163.93,1031529.6
824,131Xe,1805.3,1.4000000000000001e-08
825,131Cs,775.28,1.046e-08
826,131Ba,187.995,855.6
827,131La,304.6,0.00016999999999999999
828,131Ce,63.09,324.0
829,131Ce,161.98,8.800000000000001e-08
830,131Pr,152.4,5.73
831,132Sn,4715.91,2.01e-08
832,132Sn,4848.52,2.08e-06
833,132Sb,85.55,1.562e-08
834,132Sb,254.5,1.02e-07
835,132Te,1774.8,1.35e-07
836,132Te,1925.47,2.8499999999999998e-05
837,132Te,2723.3,3.62e-06
838,132I,120.0,4993.2
839,132Xe,2214.01,8.700000000000001e-08
840,132Xe,2752.21,0.008369999999999999
841,132La,188.2,1458.0
842,132Ce,2341.15,0.0094
843,133Te,334.26,3324.0
844,133Te,1610.4,1.0000000000000001e-07
845,133I,1634.148,9.0
846,133I,1729.137,1.7000000000000001e-07
847,133Xe,233.221,191116.80000000002
848,133Xe,2107.0,0.00864
849,133Ba,288.252,140076.0
850,133Ba,1942.1,6.66e-08
851,133La,535.595,6.2e-08
852,133Ce,37.2,19173.6
853,133Pr,192.12,1.1
854,133Nd,127.97,70.0
855,133Nd,176.1,2.91e-07
856,133Nd,353.62,4.6e-08
857,134In,56.7,3.5e-06
858,134Sn,1246.3,8.170000000000001e-08
859,134Sb,279.0,9.97
860,134Te,1691.34,1.6480000000000002e-07
861,134Te,5804.0,1.71e-08
862,134I,316.49,211.2
863,134Xe,1965.5,0.29
864,134Xe,3025.2,4.9999999999999996e-06
865,134Cs,11.2442,4.660000000000001e-08
866,134Cs,138.7441,10483.199999999999
867,134Cs,176.4044,4.970000000000001e-08
868,134Cs,257.1075,1.2300000000000001e-08
869,134Ba,1986.35,5.0000000000000004e-08
870,134Ba,2957.2,2.6099999999999996e-06
871,134Ce,3208.6,3.08e-07
872,134Pr,67.7,660.0
873,134Nd,2293.3,0.00039000000000000005
874,135Sb,1343.2,2e-08
875,135Te,1554.89,5.11e-07
876,135Xe,526.551,917.4
877,135Cs,1632.9,3180.0
878,135Ba,268.218,103320.0
879,135Ba,2388.0,0.0010600000000000002
880,135La,2738.43,2.53e-08
881,135Ce,445.81,20.0
882,135Pr,358.06,0.00010499999999999999
883,136Sn,1295.0,4.6e-08
884,136Sb,269.3,5.36e-07
885,136I,201.0,46.6
886,136Xe,1891.703,2.92e-06
887,136Cs,517.9,17.5
888,136Ba,2030.535,0.3075
889,136Ba,3357.19,9.100000000000001e-08
890,136La,259.5,0.114
891,136La,270.13,1.7e-08
892,136La,2520.6,1.8700000000000002e-07
893,136Ce,3095.0,2e-06
894,136Pr,594.6,9.100000000000001e-08
895,136Sm,2264.7,1.4999999999999999e-05
896,137Xe,1935.2,1.01e-08
897,137Ba,661.659,151.338
898,137Ba,2349.1,5.89e-07
899,137La,10.59,8.9e-08
900,137La,1869.5,3.42e-07
901,137Ce,254.29,125279.99999999999
902,137Pr,561.22,2.66e-06
903,137Nd,519.43,1.6
904,138Sn,1344.0,2.1e-07
905,138I,67.9,1.07e-06
906,138Cs,79.9,174.60000000000002
907,138Ba,2090.536,8.499999999999999e-07
908,138La,72.57,1.16e-07
909,138La,738.8,2e-06
910,138Ce,2129.28,0.00873
911,138Ce,3539.21,8.100000000000001e-08
912,138Pr,364.0,7451.999999999999
913,138Nd,3174.5,3.7e-07
914,138Gd,2232.6,6.2e-06
915,139La,1800.4,3.15e-07
916,139Ce,754.24,57.58
917,139Ce,2631.9,7e-08
918,139Pr,821.98,4.34e-08
919,139Nd,231.16,19800.0
920,139Nd,2616.9,2.77e-07
921,139Pm,188.7,0.18
922,139Sm,457.38,10.7
923,139Eu,148.3,9.999999999999999e-06
924,140Cs,13.931,4.71e-07
925,140Ce,2107.854,7.2999999999999996e-06
926,140Ce,3714.3,2.3100000000000002e-08
927,140Pr,127.8,3.5e-07
928,140Pr,763.7,3.0499999999999996e-06
929,140Nd,2221.65,0.0006
930,140Nd,3621.52,2.24e-08
931,140Nd,7435.1,1.22e-06
932,140Sm,3172.1,1.94e-08
933,140Sm,3652.8,1.52e-08
934,140Dy,2166.1,7e-06
935,141Cs,69.05,2.3300000000000003e-08
936,141Nd,756.51,62.0
937,141Pm,628.62,6.3e-07
938,141Pm,2349.52,5.4e-08
939,141Pm,2530.75,2e-06
940,141Pm,2574.4,2e-06
941,141Sm,175.9,1356.0
942,141Eu,96.45,2.7
943,141Gd,377.76,24.5
944,141Ho,66.0,7.2999999999999996e-06
945,142La,145.82,8.699999999999999e-07
946,142Pr,3.694,876.0
947,142Pr,911.4,6.1e-08
948,142Nd,2100.787,2.8000000000000003e-08
949,142Nd,2209.303,1.86e-05
950,142Pm,449.47,1.6500000000000002e-08
951,142Pm,883.17,0.002
952,142Pm,2828.7,6.7e-05
953,142Sm,2372.1,1.421e-07
954,142Sm,3662.2,4.800000000000001e-07
955,142Sm,6657.9,4.16e-08
956,142Tb,279.7,0.303
957,142Tb,652.1,2.6e-05
958,143Nd,8987.7,3.5e-08
959,143Pm,959.73,2.4000000000000003e-08
960,143Pm,1898.36,1.0500000000000001e-08
961,143Sm,753.99,66.0
962,143Sm,2793.8,0.03
963,143Eu,389.51,4.9999999999999996e-05
964,143Gd,152.6,110.0
965,143Dy,310.7,3.0
966,143Dy,405.7,1.2e-06
967,144Cs,92.2,1.1e-06
968,144Pr,59.03,432.0
969,144Pm,840.9,7.799999999999999e-07
970,144Pm,8595.8,2.7e-06
971,144Sm,2323.6,8.8e-07
972,144Eu,926.0,2.7800000000000004e-08
973,144Eu,1127.6,1e-06
974,144Gd,2471.6,1.3e-08
975,144Gd,3433.1,1.4500000000000001e-07
976,144Tb,396.9,4.25
977,144Tb,476.2,2.8e-06
978,144Tb,517.1,6.7e-07
979,144Ho,265.3,5.19e-07
980,145Ce,64.3,1.3e-08
981,145Nd,67.167,2.9400000000000002e-08
982,145Pm,794.6,1.71e-08
983,145Sm,1105.03,1.31e-08
984,145Sm,8815.0,3.5199999999999998e-06
985,145Eu,716.0,4.900000000000001e-07
986,145Gd,27.3,1.15e-08
987,145Gd,749.1,85.0
988,145Gd,2200.1,2.04e-08
989,145Dy,118.2,14.1
990,145Er,253.0,0.9
991,146La,141.4,9.8
992,146Eu,666.33,0.000235
993,146Eu,8649.9,1e-08
994,146Dy,2934.5,0.15
995,146Tm,182.0,0.198
996,147Pr,93.29,1.2000000000000002e-08
997,147Pm,649.14,2.7e-08
998,147Eu,625.27,7.65e-07
999,147Gd,997.1,2.14e-08
1000,147Gd,3581.9,2.6800000000000002e-08
1001,147Gd,8587.8,5.1e-07
1002,147Tb,50.6,112.2
1003,147Dy,750.5,55.2
1004,147Dy,3407.2,4e-07
1005,147Dy,3650.6,1.6e-08
1006,147Ho,2687.1,3.15e-07
1007,147Tm,68.0,0.00035999999999999997
1008,148La,56.034,6.7e-08
1009,148Pr,76.8,120.6
1010,148Pm,137.9,3567456.0
1011,148Sm,6694.32,3.2e-08
1012,148Eu,720.4,1.6200000000000002e-07
1013,148Gd,2694.67,1.6600000000000003e-08
1014,148Tb,90.1,132.0
1015,148Tb,109.6,8e-08
1016,148Tb,1095.8,2.2000000000000002e-08
1017,148Tb,8618.6,1.31e-06
1018,148Dy,2832.2,6.5e-08
1019,148Dy,2919.1,4.71e-07
1020,148Er,2913.2,1.3e-05
1021,149Pr,58.5,2.34e-08
1022,149Pm,240.214,3.5e-05
1023,149Eu,496.386,2.4500000000000003e-06
1024,149Tb,35.78,250.2
1025,149Dy,2661.1,0.49
1026,149Dy,8520.5,2.8000000000000003e-08
1027,149Ho,48.8,56.0
1028,149Ho,2735.9,5.9000000000000006e-08
1029,149Er,741.69,9.6
1030,149Er,2611.1,6.1e-07
1031,150Pr,109.84,4.64e-08
1032,150Eu,41.7,46080.0
1033,150Eu,588.81,4.5000000000000006e-08
1034,150Tb,461.0,348.0
1035,150Er,2733.3,2e-08
1036,150Er,2796.5,2.5499999999999997e-06
1037,150Er,7371.9,1.5000000000000002e-08
1038,150Er,9508.6,4.3e-08
1039,150Tm,671.3,0.005200000000000001
1040,150Lu,22.0,3.9e-05
1041,151Pr,35.1,4.9999999999999996e-05
1042,151Sm,4.821,3.5e-08
1043,151Sm,91.532,7.800000000000001e-08
1044,151Sm,261.13,1.4e-06
1045,151Eu,196.245,5.8899999999999995e-05
1046,151Tb,99.53,25.0
1047,151Dy,6032.2,1.19e-08
1048,151Ho,41.0,47.2
1049,151Er,1140.35,1e-08
1050,151Er,2586.0,0.58
1051,151Er,10286.6,4.1999999999999995e-07
1052,151Tm,2655.67,4.51e-07
1053,151Tm,6908.5,2.4000000000000003e-08
1054,151Yb,679.0,1.6
1055,151Lu,61.0,1.6e-05
1056,152Pr,115.1,4.2e-06
1057,152Pm,150.0,451.2
1058,152Eu,45.5998,33521.76
1059,152Eu,65.2969,9.399999999999999e-07
1060,152Eu,77.2593,3.8e-08
1061,152Eu,78.2331,1.65e-07
1062,152Eu,89.8496,3.8400000000000005e-07
1063,152Eu,147.86,5748.0
1064,152Tb,342.15,9.6e-07
1065,152Tb,501.74,252.0
1066,152Dy,5088.1,6.000000000000001e-08
1067,152Ho,160.0,49.8
1068,152Ho,3019.59,8.4e-06
1069,152Ho,5997.9,4.7000000000000004e-08
1070,152Er,9711.8,3.5e-08
1071,152Er,13386.9,1.1000000000000001e-08
1072,152Yb,2744.5,2.9999999999999997e-05
1073,153Nd,191.71,1.1e-06
1074,153Sm,98.39,0.0106
1075,153Sm,182.902,1.7e-08
1076,153Eu,1771.0,4.75e-07
1077,153Gd,95.1737,3.5e-06
1078,153Gd,171.188,7.599999999999999e-05
1079,153Tb,163.175,0.000186
1080,153Ho,68.7,558.0
1081,153Ho,2771.9,2.2900000000000003e-07
1082,153Er,2798.2,3.73e-07
1083,153Er,2992.7,1e-08
1084,153Er,3939.5,1e-08
1085,153Er,5248.1,2.48e-07
1086,153Tm,43.2,2.5
1087,153Lu,2502.5,1e-07
1088,153Lu,2632.9,1.4999999999999999e-05
1089,154Nd,1297.9,3.2e-06
1090,154Eu,68.1702,2.2e-06
1091,154Eu,82.82,2e-08
1092,154Eu,100.8612,5.4e-08
1093,154Eu,145.3,2778.0
1094,154Gd,2137.48,6.8e-08
1095,154Er,3025.0,3.9000000000000005e-08
1096,154Yb,2046.2,2.8000000000000003e-08
1097,154Yb,4479.1,1.86e-08
1098,154Lu,59.0,1.12
1099,155Sm,16.547,2.8e-06
1100,155Sm,538.4,1e-06
1101,155Gd,121.05,0.03197
1102,155Dy,132.195,5.1e-08
1103,155Dy,234.33,6e-06
1104,155Ho,141.97,0.00088
1105,155Er,563.3,3.48e-08
1106,155Tm,41.0,45.0
1107,155Lu,20.0,0.138
1108,155Lu,1781.0,0.00269
1109,156Nd,1431.3,3.6e-07
1110,156Sm,1397.55,1.85e-07
1111,156Eu,87.4897,1.2000000000000002e-08
1112,156Gd,2137.6,1.3e-06
1113,156Tb,49.63,4.9e-08
1114,156Tb,88.4,19080.0
1115,156Ho,52.37,9.5
1116,156Ho,117.58,5.8e-08
1117,156Hf,1959.0,0.0005200000000000001
1118,156Ta,102.0,0.36
1119,157Gd,63.916,4.6e-07
1120,157Gd,426.539,1.85e-05
1121,157Dy,161.99,1.3e-06
1122,157Dy,199.38,0.0216
1123,157Ho,53.048,2e-08
1124,157Er,155.4,0.076
1125,157Yb,528.8,4.5000000000000006e-08
1126,157Lu,20.9,4.62
1127,157Hf,2875.4,5.2e-08
1128,157Ta,22.0,0.0043
1129,157Ta,1589.0,0.0017
1130,158Nd,1648.1,3.39e-07
1131,158Sm,1279.7,7.4e-08
1132,158Tb,110.3,10.7
1133,158Tb,388.39,0.0004
1134,158Ho,67.2,1680.0
1135,158Ho,156.9,2.9e-08
1136,158Ta,141.0,0.0367
1137,158Ta,2805.5,6.099999999999999e-06
1138,158W,1888.0,0.00014299999999999998
1139,159Pm,1495.0,4.97e-06
1140,159Sm,1275.9,8.3e-08
1141,159Gd,67.829,2.62e-08
1142,159Dy,352.77,0.000122
1143,159Ho,205.91,8.3
1144,159Er,182.602,3.37e-07
1145,159Er,429.05,5.9e-07
1146,159Tm,166.17,3.7500000000000005e-08
1147,159Ta,64.0,0.56
1148,160Nd,1107.9,1.6299999999999999e-06
1149,160Sm,1361.3,1.2000000000000002e-07
1150,160Sm,2757.6,1.8e-06
1151,160Eu,93.0,30.8
1152,160Tb,63.6856,6.000000000000001e-08
1153,160Ho,59.98,18072.0
1154,160Ho,107.27,4.8000000000000006e-08
1155,160Ho,118.441,5.6000000000000005e-08
1156,160Tm,70.9,74.5
1157,160Tm,174.38,1.7e-08
1158,160Re,184.0,2.8e-06
1159,161Pm,966.0,7.9e-07
1160,161Sm,1337.8,2.6e-06
1161,161Dy,25.65136,2.9100000000000002e-08
1162,161Dy,485.7,7.599999999999999e-07
1163,161Ho,211.15,6.76
1164,161Er,189.42,8.400000000000001e-08
1165,161Er,396.44,7.499999999999999e-06
1166,161Tm,78.2,1.1e-07
1167,161Hf,329.0,4.8e-06
1168,161Re,123.8,0.0147
1169,162Sm,1010.7,1.78e-06
1170,162Eu,158.4,15.0
1171,162Gd,1448.6,9.9e-05
1172,162Dy,2187.9,8.3e-06
1173,162Ho,105.87,4025.9999999999995
1174,162Er,2026.7,7.7e-08
1175,162Re,173.0,0.077
1176,163Eu,964.5,9.300000000000001e-07
1177,163Gd,138.2,23.5
1178,163Ho,297.88,1.09
1179,163Ho,1506.4,4.1e-08
1180,163Ho,2109.4,8e-07
1181,163Er,445.5,5.8e-07
1182,163Tm,86.92,3.7999999999999996e-07
1183,163Tm,164.69,4.3e-08
1184,163Tm,290.3,4.3e-08
1185,163Yb,58.1,1e-08
1186,163Yb,99.2,1e-08
1187,163Yb,124.0,1e-08
1188,163W,480.3,1.54e-07
1189,163Re,115.0,0.214
1190,164Sm,1485.5,6e-07
1191,164Gd,1095.8,5.8e-07
1192,164Ho,139.78,2196.0
1193,164Er,1985.06,2.3e-08
1194,164Er,3377.57,6.8e-08
1195,165Tb,207.0,8.1e-07
1196,165Dy,108.1552,75.41999999999999
1197,165Ho,361.675,1.5119999999999999e-06
1198,165Er,551.3,2.5e-07
1199,165Er,1823.0,3.7e-07
1200,165Tm,80.37,7.999999999999999e-05
1201,165Tm,160.47,9e-06
1202,165Yb,126.8,3.0000000000000004e-07
1203,165Re,48.0,1.74
1204,166Gd,1601.5,9.5e-07
1205,166Tb,159.0,3.5e-06
1206,166Ho,5.969,35717673600.0
1207,166Ho,190.9021,0.000185
1208,166Lu,34.37,84.6
1209,166Lu,43.0,127.2
1210,166Lu,83.5,9.2e-08
1211,166Ir,172.0,0.0151
1212,167Ho,259.34,6e-06
1213,167Er,207.801,2.269
1214,167Tm,179.48,1.16e-06
1215,167Tm,292.82,9e-07
1216,167Yb,188.754,2.3e-08
1217,167Yb,571.548,1.8000000000000002e-07
1218,167Os,435.1,6.720000000000001e-07
1219,167Ir,175.3,0.03
1220,168Tb,211.0,6.9e-07
1221,168Dy,1378.2,5.699999999999999e-07
1222,168Ho,143.43,4e-06
1223,168Ho,192.57,1.08e-07
1224,168Er,1094.0383,1.0900000000000001e-07
1225,168Yb,1998.74,8.2e-08
1226,168Yb,2222.37,6.2e-08
1227,168Lu,160.0,390.0
1228,169Dy,166.0,1.26e-06
1229,169Ho,1386.2,0.000118
1230,169Er,92.05,2.85e-07
1231,169Er,243.69,2.0000000000000002e-07
1232,169Tm,316.14633,6.599e-07
1233,169Tm,379.26678,5.2200000000000004e-08
1234,169Yb,24.1999,46.0
1235,169Lu,29.0,160.0
1236,169Hf,28.8,8.2e-08
1237,169Ta,180.1,1.7e-08
1238,169Ta,219.72,2.8000000000000003e-08
1239,169Re,187.0,15.1
1240,169Ir,153.0,0.281
1241,170Dy,1643.8,9.9e-07
1242,170Ho,120.0,43.0
1243,170Er,1268.68,4.28e-08
1244,170Tm,183.197,4.1199999999999995e-06
1245,170Yb,1258.46,3.7e-07
1246,170Lu,92.91,0.67
1247,170Hf,2182.7,2.3e-08
1248,170Au,275.0,0.000617
1249,171Er,198.6,2.1e-07
1250,171Tm,424.956,2.6e-06
1251,171Tm,1674.5,1.6999999999999998e-06
1252,171Yb,95.282,0.00525
1253,171Yb,122.416,2.65e-07
1254,171Lu,71.13,79.0
1255,171Lu,208.15,2.97e-08
1256,171Hf,21.93,29.5
1257,171Hf,49.6,6.4e-08
1258,171Hf,1984.4,1.8000000000000002e-08
1259,171Ta,235.9,4.6e-08
1260,171Pt,412.6,9.01e-07
1261,171Au,250.0,0.001014
1262,172Dy,1277.9,0.71
1263,172Er,1263.3,3.95e-08
1264,172Er,1500.9,5.699999999999999e-07
1265,172Tm,476.2,0.00013199999999999998
1266,172Yb,1550.43,3.6e-06
1267,172Lu,41.86,222.0
1268,172Lu,65.79,3.32e-07
1269,172Lu,109.41,0.00043999999999999996
1270,172Lu,213.57,1.5000000000000002e-07
1271,172Hf,2005.84,1.6300000000000002e-07
1272,173Ho,405.0,3.7e-06
1273,173Tm,317.73,1.04e-05
1274,173Tm,1905.7,2.5000000000000004e-07
1275,173Tm,2061.1,1.52e-08
1276,173Tm,4047.9,1.21e-07
1277,173Yb,398.9,2.8999999999999998e-06
1278,173Lu,123.672,7.42e-05
1279,173Hf,107.16,1.8000000000000002e-07
1280,173Hf,197.47,1.6e-07
1281,173Hf,1982.1,1.9500000000000003e-08
1282,173Ta,173.05,2.0500000000000002e-07
1283,173Ta,198.16,1.35e-08
1284,173Ta,1717.2,1.37e-07
1285,173W,85.37,1.4000000000000001e-08
1286,173W,148.0,1.31e-06
1287,173Os,141.2,2.8000000000000003e-08
1288,173Ir,219.0,2.2
1289,173Au,214.0,0.012199999999999999
1290,174Er,1111.5,3.9
1291,174Tm,191.5,1.52e-08
1292,174Tm,252.4,2.29
1293,174Tm,496.7,1.04e-08
1294,174Tm,2091.7,0.00010609999999999999
1295,174Yb,1518.148,0.00083
1296,174Yb,1765.2,2.56e-07
1297,174Yb,3698.8,5.5e-08
1298,174Yb,6146.6,2.84e-08
1299,174Lu,170.83,12441600.0
1300,174Lu,240.818,3.9500000000000003e-07
1301,174Lu,365.183,1.4500000000000001e-07
1302,174Lu,1855.7,1.9400000000000002e-07
1303,174Lu,2062.5,3.8e-08
1304,174Lu,4068.6,9.700000000000001e-08
1305,174Lu,5849.6,2.42e-07
1306,174Hf,1549.3,1.3800000000000002e-07
1307,174Hf,1797.5,2.39e-06
1308,174Hf,3311.7,3.7e-06
1309,174W,2267.8,1.58e-07
1310,174W,3515.6,1.2600000000000002e-07
1311,174Re,1846.9,5.3000000000000005e-08
1312,174Ir,129.0,4.9
1313,175Tm,440.0,3.1900000000000004e-07
1314,175Tm,946.7,4.44e-08
1315,175Tm,1517.7,2.1e-05
1316,175Yb,514.866,0.06820000000000001
1317,175Lu,353.48,1.49e-06
1318,175Lu,626.53,1.06e-08
1319,175Lu,1392.2,0.0009839999999999998
1320,175Hf,125.89,5.37e-05
1321,175Hf,1433.41,1.1e-06
1322,175Hf,3015.6,1.2099999999999998e-06
1323,175Hf,4636.2,2.8e-06
1324,175Ta,131.41,2.22e-07
1325,175Ta,339.2,1.7000000000000001e-07
1326,175Ta,1567.6,1.95e-06
1327,175W,104.03,4.5000000000000006e-08
1328,175W,234.96,2.16e-07
1329,175Re,1793.8,2.77e-08
1330,175Os,105.7,1e-08
1331,175Ir,71.3,6.58e-06
1332,175Hg,494.0,3.4000000000000003e-07
1333,176Yb,1049.8,11.4
1334,176Lu,122.845,13248.0
1335,176Lu,194.358,3.5e-08
1336,176Lu,1514.5,3.1200000000000004e-07
1337,176Lu,1587.5,3.9999999999999996e-05
1338,176Hf,1333.07,9.6e-06
1339,176Hf,1559.31,9.9e-06
1340,176Hf,2865.8,0.000401
1341,176Hf,4376.6,3.4e-08
1342,176Hf,4863.5,4.4999999999999996e-05
1343,176Ta,100.2,3.05e-08
1344,176Ta,103.0,0.0011
1345,176W,3747.0,4.1e-08
1346,176W,4894.7,1e-08
1347,177Yb,331.5,6.41
1348,177Lu,150.3984,1.331e-07
1349,177Lu,569.6721,0.000155
1350,177Lu,761.7063,3.3000000000000004e-08
1351,177Lu,970.1757,13858560.0
1352,177Lu,1356.86,1.08e-08
1353,177Lu,2771.7,6.25e-07
1354,177Hf,1315.4502,1.09
1355,177Hf,1342.4,5.59e-05
1356,177Hf,2740.02,3084.0
1357,177Ta,70.48,7.02e-08
1358,177Ta,73.16,4.1000000000000004e-07
1359,177Ta,186.16,3.62e-06
1360,177Ta,487.63,2.6e-08
1361,177Ta,1354.8,5.299999999999999e-06
1362,177Ta,2826.3,2.3e-08
1363,177Ta,2852.5,4.6e-08
1364,177Ta,4656.3,0.000133
1365,177W,101.23,3.8e-08
1366,177W,185.31,1.3e-08
1367,177Re,84.71,4.9999999999999996e-05
1368,177Os,152.3,4e-08
1369,177Os,300.6,4.63e-08
1370,177Pt,147.4,2.35e-06
1371,177Au,182.7,1.193
1372,177Hg,323.0,1.5e-06
1373,177Tl,807.0,0.00022999999999999998
1374,178Lu,123.8,1386.0
1375,178Hf,1147.416,4.0
1376,178Hf,1553.997,7.75e-08
1377,178Hf,2446.09,977616000.0
1378,178Hf,2572.4,6.8e-05
1379,178W,3654.93,3.0000000000000004e-08
1380,178W,5313.7,6.4e-08
1381,178W,6572.7,2.2e-07
1382,178Au,173.6,2.94e-07
1383,178Au,189.0,2.7
1384,178Au,246.0,3.73e-07
1385,179Lu,592.4,0.0031000000000000003
1386,179Hf,375.0352,18.67
1387,179Hf,1105.74,2160000.0
1388,179Hf,2549.6,3.0000000000000004e-08
1389,179Hf,3439.2,1.2000000000000002e-08
1390,179Hf,3775.2,1.4999999999999999e-05
1391,179Ta,30.7,1.42e-06
1392,179Ta,238.56,6.5e-08
1393,179Ta,520.23,2.8e-07
1394,179Ta,627.98,8e-08
1395,179Ta,1252.6,3.22e-07
1396,179Ta,1317.2,0.009000000000000001
1397,179Ta,1328.0,1.6e-06
1398,179Ta,2639.5,0.0541
1399,179Ta,2792.8,1.7e-08
1400,179Ta,5391.8,5.3000000000000005e-08
1401,179W,221.91,384.0
1402,179W,1631.9,3.9e-07
1403,179W,3348.41,7.5e-07
1404,179Re,65.35,9.499999999999999e-05
1405,179Re,1202.2,2.1000000000000003e-08
1406,179Re,5408.0,0.00046600000000000005
1407,179Os,145.41,5e-07
1408,179Os,243.0,7.83e-07
1409,179Au,89.5,3.28e-07
1410,179Hg,171.4,6.4e-06
1411,179Tl,904.5,1.14e-07
1412,180Lu,13.9,1.0
1413,180Lu,624.0,0.001
1414,180Hf,1141.552,19764.0
1415,180Hf,1374.36,5.699999999999999e-07
1416,180Hf,2485.5,9.399999999999999e-07
1417,180Hf,3597.5,8.999999999999999e-05
1418,180Ta,76.79,1.41912e+24
1419,180Ta,107.78,1.92e-08
1420,180Ta,177.87,7e-08
1421,180Ta,357.01,4.2000000000000006e-08
1422,180Ta,463.62,3.12e-08
1423,180Ta,520.04,3.7400000000000004e-08
1424,180Ta,594.43,1.6100000000000002e-08
1425,180Ta,1452.39,3.12e-05
1426,180Ta,2588.3,2.2000000000000002e-08
1427,180Ta,3678.9,2e-06
1428,180W,1529.05,0.00547
1429,180W,1639.8,1.92e-08
1430,180W,3264.9,2.2999999999999996e-06
1431,180Re,20.1,8.800000000000001e-08
1432,180Os,1928.76,1.5800000000000003e-08
1433,181Hf,595.27,7.999999999999999e-05
1434,181Hf,1043.5,9.999999999999999e-05
1435,181Hf,1741.9,0.0015
1436,181Ta,6.237,6.05e-06
1437,181Ta,482.168,1.08e-08
1438,181Ta,615.19,1.85e-05
1439,181Ta,1483.43,2.4999999999999998e-05
1440,181Ta,2227.9,0.00020999999999999998
1441,181W,365.55,1.4599999999999999e-05
1442,181W,1653.1,1.4e-07
1443,181W,1744.9,5.0000000000000004e-08
1444,181W,3943.9,2e-08
1445,181Re,262.91,1.567e-07
1446,181Re,356.72,8.76e-08
1447,181Re,1656.37,2.5000000000000004e-07
1448,181Re,1880.57,1.15e-05
1449,181Re,3869.4,1.2e-06
1450,181Re,3990.02,2.22e-08
1451,181Os,49.2,162.0
1452,181Os,156.91,2.62e-07
1453,181Os,3738.67,2.4000000000000003e-08
1454,181Ir,289.33,2.98e-07
1455,181Ir,366.3,1.2600000000000002e-07
1456,181Ir,2034.3,2.2000000000000002e-08
1457,181Pt,116.65,3.0000000000000004e-07
1458,181Pt,275.99,9.9e-08
1459,181Tl,835.9,0.0014
1460,182Hf,1172.87,3690.0
1461,182Hf,2571.3,3.9999999999999996e-05
1462,182Ta,16.273,0.28300000000000003
1463,182Ta,519.577,950.4
1464,182W,2230.65,1.3e-06
1465,182W,3754.89,3.7e-08
1466,182W,4040.6,2e-08
1467,182Re,2256.48,8.2e-08
1468,182Os,1831.4,0.0007800000000000001
1469,182Os,7049.5,1.5000000000000002e-07
1470,182Ir,71.02,1.7000000000000001e-07
1471,182Ir,176.4,1.3e-07
1472,183Hf,1464.0,10.0
1473,183Ta,73.164,1.0900000000000001e-07
1474,183Ta,1332.0,8.32e-07
1475,183W,309.492,5.32
1476,183W,453.0695,1.89e-08
1477,183W,1746.11,1.27e-08
