,Isotope,Decay Energy (keV),Half-life (seconds)
171,75As,303.9243,0.01762
172,75Se,293.106,3.0000000000000004e-08
173,75Br,220.8,3.17e-08
174,76Co,638.4,2.96e-06
175,76Ni,2418.0,5.478e-07
176,76Cu,64.1,1.27
177,76Zn,2634.0,2.54e-08
178,76Ga,199.0,3.4e-08
179,76As,44.425,1.84e-06
180,76Br,102.2,1.31
181,76Rb,316.93,3.0499999999999996e-06
182,77Zn,772.44,1.05
183,77Ge,159.71,53.7
184,77As,475.48,0.00011399999999999999
185,77Se,161.9223,17.36
186,77Br,105.86,256.8
187,77Kr,66.5,1.1800000000000001e-07
188,78Zn,2675.3,3.2e-07
189,78Ga,498.9,1.1e-07
190,78Br,32.32,1.1300000000000002e-08
191,78Br,180.89,0.0001194
192,78Br,227.67,8.400000000000001e-08
193,78Br,242.82,1.7e-08
194,78Rb,46.84,9.1e-07
195,78Rb,111.19,344.40000000000003
196,79Zn,942.0,0.2
197,79Ge,185.95,39.0
198,79As,772.81,1.2099999999999998e-06
199,79Se,95.77,233.1
200,79Br,207.61,4.85
201,79Kr,129.77,50.0
202,79Kr,147.06,7.870000000000001e-08
203,79Rb,39.37,2.05e-08
204,79Rb,96.76,1.86e-08
205,79Sr,177.29,2.1000000000000003e-08
206,80Ga,22.45,1.3
207,80Ga,707.9,1.8300000000000002e-08
208,80Br,85.843,15913.8
209,80Rb,493.9,1.6299999999999999e-06
210,80Rb,650.7,1.3900000000000002e-08
211,80Y,228.5,4.8
212,80Y,312.6,4.7e-06
213,81Se,102.966,3436.8
214,81Br,536.2,3.46e-05
215,81Kr,190.64,13.1
216,81Rb,86.31,1830.0
217,81Sr,79.23,3.8999999999999997e-07
218,81Sr,89.05,6.4e-06
219,81Sr,119.76,2.4000000000000003e-08
220,82Ga,140.7,9.4e-05
221,82As,131.6,13.6
222,82Br,45.9492,367.8
223,82Rb,69.0,23299.2
224,82Rb,192.2,1.2300000000000001e-08
225,82Y,401.1,1.1000000000000001e-08
226,82Y,402.63,2.68e-07
227,82Y,405.76,3.53e-08
228,82Y,507.5,1.47e-07
229,82Nb,1180.0,9.2e-08
230,83Se,228.92,70.1
231,83Br,3069.2,7e-07
232,83Kr,9.4057,1.5680000000000003e-07
233,83Kr,41.5575,6588.0
234,83Rb,5.2357,7.15e-08
235,83Sr,259.15,4.95
236,83Y,62.04,171.0
237,83Zr,52.72,5.3e-07
238,83Zr,77.04,1.8e-06
239,84Br,320.0,360.0
240,84Kr,3236.07,1.83e-06
241,84Kr,5373.4,4.370000000000001e-08
242,84Rb,463.59,1215.6000000000001
243,84Rb,543.28,1.1000000000000001e-08
244,84Y,67.0,4.6
245,84Y,112.4,7.9e-08
246,84Y,156.7,1.46e-08
247,84Y,162.88,3.2e-08
248,84Y,210.42,2.92e-07
249,84Y,216.11,1.8700000000000002e-08
250,84Nb,48.0,1.7600000000000001e-07
251,84Nb,305.2,5.0000000000000004e-08
252,84Nb,337.0,9.2e-08
253,85Kr,304.871,16128.000000000002
254,85Kr,1991.8,1.82e-06
255,85Rb,514.0065,1.0149999999999998e-06
256,85Rb,2826.55,1.2500000000000001e-08
257,85Sr,238.79,4057.7999999999997
258,85Y,19.68,17496.0
259,85Y,266.18,1.78e-07
260,85Zr,292.2,10.9
261,86Rb,556.05,61.019999999999996
262,86Sr,2956.09,4.55e-07
263,86Y,208.04,7e-08
264,86Y,218.21,2844.0
265,86Y,242.8,2.8600000000000005e-08
266,86Y,302.18,1.27e-07
267,86Tc,1524.0,1.1e-06
268,87Y,380.82,48132.0
269,87Zr,335.84,14.0
270,87Nb,3.9,156.0
