Isotopes,Energy_Joules,Log10_Energy_Joules
218Rn,4.430360596420589e12,12.646439075808232
271Ds,3.4286793410525688e13,13.535126870672471
259Rf,5.778563474334405e12,12.761819888124753
218Fr,3.3284207503192383e12,12.522238220861434
263Sg,3.881638258371058e12,12.58901505971965
