2.6260	5.9765	O	
2.1340	5.4453	O	
0.98300	2.5824	O	
0.68800	1.8577	O	
0.49200	1.1633	O	
0.16230	0.90063	P	Mk08 (d)
0.24590	1.0293	P	
0.32950	1.3260	P	
0.49180	1.5110	P	
0.73760	1.9050	P	
0.98350	2.5035	P	
1.4753	3.4697	P	
1.9670	4.6000	P	
2.4586	5.4577	P	
2.9505	6.3196	P	
3.4421	7.1967	P	
3.9339	8.0932	P	
4.4256	9.0028	P	
4.9173	9.9332	P	
2.0007	4.6603	Q	Mk09b
2.2508	4.9993	Q	
2.5010	5.7788	Q	
2.5010	5.5924	Q	
2.5010	5.7449	Q	
4.0014	8.2361	Q	
4.0014	8.2361	Q	
4.0014	8.3378	Q	
4.5016	8.9139	Q	
5.0017	10.304	Q	
5.0017	10.304	Q	
9.9753	15.646	R	Pr12
12.425	17.417	R	
19.726	22.140	R	
24.773	24.649	R	
29.780	25.535	R	
37.456	28.044	R	
39.915	28.044	R	
49.923	30.258	R	
59.951	32.472	R	
69.954	33.801	R	
74.751	34.982	R	
79.968	34.982	R	
89.850	35.867	R	
100.03	36.458	R	
0.28249	0.99837	S	Vs16
0.28249	1.0630	S	
0.36778	1.1506	S	
0.35958	1.1600	S	
0.37614	1.2724	S	
0.45509	1.3366	S	
0.47369	1.4666	S	
0.55168	1.5827	S	
0.64658	1.8262	S	
0.71394	2.0452	S	
0.72556	2.1096	S	
0.92314	2.5231	S	
0.96285	2.7327	S	
0.91012	2.6122	S	
1.3898	3.7018	S	
1.4383	3.9004	S	
1.8389	4.8159	S	
1.9515	5.1307	S	
1.9515	5.1570	S	
2.3092	5.8511	S	
2.3927	6.1583	S	
2.7646	6.9147	S	
2.9023	7.2122	S	
2.7646	6.9924	S	
3.7452	8.5546	S	
3.8783	8.8341	S	
3.7452	8.6811	S	
4.6662	9.9326	S	
4.6662	10.195	S	
5.6558	11.113	S	
6.6347	12.421	S	
6.6347	12.349	S	
7.5790	13.276	S	
8.5460	14.453	S	
8.5460	14.261	S	
504.34	27.687	T	Trz02
562.95	26.579	T	
619.79	24.733	T	
682.37	23.257	T	
793.73	22.888	T	
898.23	21.780	T	
1103.9	19.196	T	
1266.5	18.089	T	
1394.4	17.350	T	
1690.2	16.612	T	
1886.6	14.028	T	
2077.1	14.028	T	
2552.6	13.290	T	
2849.2	12.551	T	
3268.9	11.075	T	
3549.9	10.705	T	
4017.3	10.336	T	
4072.8	11.075	T	
4017.3	9.5980	T	
5664.2	8.1214	T	
