,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
5303,38,980,238Cf,,57280#      ,300#      ,           ,          , ,,, 21.1   ,ms,1.3    ,0+            ,15,1995,SF=97.5 14;A=2.5 14,6.686186528760108e-10
5304,39,900,239Th,,56500#      ,400#      ,           ,          , ,,,  1#    , m,       ,7/2+#         ,  ,    ,B- ?,1.901285268841737e-06
5305,39,910,239Pa,,53340#      ,200#      ,           ,          , ,,,  1.8   , h,0.5    ,1/2+#         ,14,1995,B-=100,0.0002053388090349076
5306,39,920,239U,,50572.7     ,  1.5     ,           ,          , ,,, 23.45  , m,0.02   ,5/2+          ,14,1937,B-=100,4.458513955433873e-05
5307,39,921,239U,,50706.5     ,  1.5     , 133.7991  ,  0.0010  , ,,,780     ,ns,40     ,1/2+          ,14,1975,IT=100,2.471670849494258e-14
5308,39,922,239U,,53070#      ,900#      ,2500#      ,900#      , ,,,250     ,ns,       ,              ,14,1994,SF ?; IT ?,7.922021953507237e-15
5309,39,930,239Np,,49311.0     ,  1.3     ,           ,          , ,,,  2.356 , d,0.003  ,5/2+*         ,14,1940,B-=100;A ?,0.00645037645448323
5310,39,940,239Pu,,48588.2     ,  1.1     ,           ,          , ,,, 24.11  ,ky,0.03   ,1/2+*         ,14,1946,A=100;SF=3.1e-10 6,24110.0
5311,39,941,239Pu,,48979.8     ,  1.1     , 391.584   ,  0.003   , ,,,193     ,ns,4      ,7/2-          ,14,1955,IT=100,6.115800948107588e-15
5312,39,942,239Pu,,51690       ,200       ,3100       ,200       , ,,,  7.5   ,us,1.0    ,(5/2+)        ,14,1970,SF~100;IT ?,2.376606586052171e-13
5313,39,950,239Am,,49390.4     ,  2.0     ,           ,          , ,,, 11.9   , h,0.1    ,5/2-          ,14,1949,EC=99.990 1;A=0.010 1,0.0013575176819530003
5314,39,951,239Am,,51890       ,200       ,2500       ,200       , ,,,163     ,ns,12     ,(7/2+)        ,14,1969,SF~100;IT ?,5.1651583136867186e-15
5315,39,960,239Cm,,51150       ,150       ,           ,          , ,,,  2.5   , h,0.4    ,7/2-#         ,14,1952,B+~100;A=6.2e-3 14,0.0002851927903262606
5316,39,963,239Cm,,51390#      ,180#      , 240#      ,100#      , ,,,100#    ,ns,       ,1/2+          ,  ,    ,IT ?; B+ ?,3.168808781402895e-15
5317,39,970,239Bk,,54250#      ,210#      ,           ,          , ,,,100#    , s,       ,(7/2+)        ,14,1989,B+~100;A<0.01;SF<0.01,3.1688087814028946e-06
5318,39,973,239Bk,,54290#      ,210#      ,  41       , 11       ,D,,,>30#    ,us,       ,(3/2-)        ,  ,1989,IT ?; B+ ?,unknown
5319,39,980,239Cf,,58200#      ,120#      ,           ,          , ,,, 28     , s,2      ,5/2+#         ,14,1981,A=65 3;B+ ?,8.872664587928105e-07
5320,39,990,239Es,,63630#      ,300#      ,           ,          , ,,,  1#    , s,       ,3/2-#         ,  ,    ,A ?;B+ ?;SF ?,3.168808781402895e-08
5321,40,910,240Pa,,57010#      ,200#      ,           ,          , ,,, 20#    , s,       ,3+#           ,  ,    ,B- ?,6.33761756280579e-07
5322,40,920,240U,,52715.5     ,  2.6     ,           ,          , ,,, 14.1   , h,0.1    ,0+            ,08,1953,B-=100;A ?,0.0016084873374401095
5323,40,930,240Np,,52316       , 17       ,           ,          , ,,, 61.9   , m,0.2    ,(5+)          ,08,1953,B-=100,0.00011768955814130351
5324,40,931,240Np,,52334       , 13       ,  18       , 14       ,T,,,  7.22  , m,0.02   ,(1+)          ,08,1948,B-=99.88 1;IT=0.12 1,1.372727964103734e-05
5325,40,940,240Pu,,50125.3     ,  1.1     ,           ,          , ,,,  6.561 ,ky,0.007  ,0+            ,08,1949,A=100;SF=5.796e-6 39;34Si<1.3e-11,6561.0
5326,40,941,240Pu,,51434.0     ,  1.1     ,1308.74    ,  0.05    , ,,,165     ,ns,10     ,5-            ,08,1967,IT=100,5.228534489314777e-15
5327,40,950,240Am,,51510       , 14       ,           ,          , ,,, 50.8   , h,0.3    ,(3-)          ,08,1949,B+=100;A~1.9e-4 7,0.005795117499429614
