,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
0,01,000,1n,, 8071.3181  ,  0.0004  ,           ,          , ,,,609.8   , s,0.6    ,1/2+*         ,06,1932,B-=100,1.932339594899485e-05
1,01,010,1H,, 7288.971064,  0.000013,           ,          , ,,,stbl    ,  ,       ,1/2+*         ,06,1920,IS=99.9855 78,unknown
2,02,010,2H,,13135.722895,  0.000015,           ,          , ,,,stbl    ,  ,       ,1+*           ,03,1932,IS=0.0145 78,unknown
3,03,010,3H,,14949.81090 ,  0.00008 ,           ,          , ,,, 12.32  , y,0.02   ,1/2+*         ,00,1934,B-=100,12.32
4,03,020,3He,,14931.21888 ,  0.00006 ,           ,          , ,,,stbl    ,  ,       ,1/2+*         ,98,1934,IS=0.0002 2,unknown
5,03,030,3Li,,28670#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,3/2-#         ,98,    ,p ?,unknown
6,04,010,4H,,24620       ,100       ,           ,          , ,,,139     ,ys,10     ,2-            ,98,1981,n=100,4.404644206150023e-30
7,04,020,4He,, 2424.91587 ,  0.00015 ,           ,          , ,,,stbl    ,  ,       ,0+            ,98,1908,IS=99.9998 2,unknown
8,04,030,4Li,,25320       ,210       ,           ,          , ,,, 91     ,ys,9      ,2-            ,98,1965,p=100,2.883615991076634e-30
9,05,010,5H,,32890       , 90       ,           ,          , ,,, 86     ,ys,6      ,(1/2+)        ,19,1987,2n=100,2.7251755520064893e-30
10,05,020,5He,,11231       , 20       ,           ,          , ,,,602     ,ys,22     ,3/2-          ,02,1937,n=100,1.9076228864045426e-29
11,05,030,5Li,,11680       , 50       ,           ,          , ,,,370     ,ys,30     ,3/2-          ,02,1941,p=100,1.1724592491190709e-29
12,05,040,5Be,,37140#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,1/2+#         ,18,    ,p ?,unknown
13,06,010,6H,,41880       ,250       ,           ,          , ,,,294     ,ys,67     ,2-#           ,19,1984,n ?;3n ?,9.316297817324509e-30
14,06,020,6He,,17592.10    ,  0.05    ,           ,          , ,,,806.92  ,ms,0.24   ,0+            ,02,1936,B-=100;B-d=0.000278 18,2.5569751818896237e-08
15,06,030,6Li,,14086.8804  ,  0.0014  ,           ,          , ,,,stbl    ,  ,       ,1+*           ,02,1921,IS=4.85 171,unknown
16,06,038,6Li,,17649.76    ,  0.10    ,3562.88    ,  0.10    , ,,, 56     ,as,14     ,0+      T=1   ,02,1981,IT=100,1.7745329175856214e-24
17,06,040,6Be,,18375       ,  5       ,           ,          , ,,,  5.0   ,zs,0.3    ,0+            ,02,1958,2p=100,1.5844043907014474e-28
18,06,050,6B,,47320#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,2-#           ,  ,    ,2p ?,unknown
19,07,010,7H,,49140#      ,000#      ,           ,          , ,,,652     ,ys,558    ,1/2+#         ,17,2003,2n ?,2.0660633254746872e-29
20,07,020,7He,,26073       ,  8       ,           ,          , ,,,  2.51  ,zs,0.07   ,(3/2)-        ,03,1967,n=100,7.953710041321265e-29
21,07,030,7Li,,14907.105   ,  0.004   ,           ,          , ,,,stbl    ,  ,       ,3/2-*         ,03,1921,IS=95.15 171,unknown
22,07,038,7Li,,26150       , 30       ,1250       , 30       ,Q,,,        ,  ,       ,3/2-    T=3/2 ,03,    ,,unknown
23,07,040,7Be,,15769.00    ,  0.07    ,           ,          , ,,, 53.22  , d,0.06   ,3/2-          ,03,1938,EC=100,0.14570841889117042
24,07,048,7Be,,26750       , 30       ,0980       , 30       ,Q,,,        ,  ,       ,3/2-    T=3/2 ,03,    ,p ?;3He ?;A ?,unknown
25,07,050,7B,,27677       , 25       ,           ,          , ,,,570     ,ys,14     ,(3/2-)        ,14,1967,p=100,1.80622100539965e-29
26,08,020,8He,,31609.68    ,  0.09    ,           ,          , ,,,119.5   ,ms,1.5    ,0+            ,05,1965,B-=100;B-n=16 1;B-t=0.9 1,3.786726493776459e-09
27,08,030,8Li,,20945.80    ,  0.05    ,           ,          , ,,,838.7   ,ms,0.3    ,2+            ,05,1935,B-=100;B-A=100,2.657679924962608e-08
28,08,038,8Li,,31768       ,  5       ,0822       ,  5       ,Q,,,        ,  ,       ,0+      T=2   ,05,    ,,unknown
29,08,040,8Be,, 4941.67    ,  0.04    ,           ,          , ,,, 81.9   ,as,3.7    ,0+            ,05,1932,A=100,2.595254391968971e-24
30,08,048,8Be,,21568       ,  3       ,6626       ,  3       , ,,,        ,  ,       ,2+  frg T=1   ,  ,2004,A~100,unknown
31,08,049,8Be,,32436.0     ,  2.0     ,7494.3     ,  2.0     ,Q,,,        ,  ,       ,0+      T=2   ,05,    ,n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60,unknown
32,08,050,8B,,22921.6     ,  1.0     ,           ,          , ,,,771.9   ,ms,0.9    ,2+            ,05,1950,B+=100;B+A=100,2.4460034983648945e-08
33,08,058,8B,,33546       ,  8       ,0624       ,  8       ,Q,,,        ,  ,       ,0+      T=2   ,05,1975,,unknown
34,08,060,8C,,35064       , 18       ,           ,          , ,,,  3.5   ,zs,1.4    ,0+            ,18,1974,2p=100,1.109083073491013e-28
35,09,020,9He,,40940       , 50       ,           ,          , ,,,  2.5   ,zs,2.3    ,1/2(+)        ,06,1987,n=100,7.922021953507237e-29
36,09,030,9Li,,24954.91    ,  0.19    ,           ,          , ,,,178.2   ,ms,0.4    ,3/2-          ,06,1951,B-=100;B-n=50.5 10,5.646817248459958e-09
37,09,040,9Be,,11348.45    ,  0.08    ,           ,          , ,,,stbl    ,  ,       ,3/2-*         ,06,1921,IS=100,unknown
38,09,048,9Be,,25738.8     ,  1.7     ,4390.3     ,  1.7     ,Q,,,  1.25  ,as,0.10   ,3/2-    T=3/2 ,06,1976,,3.961010976753619e-26
39,09,050,9B,,12416.5     ,  0.9     ,           ,          , ,,,800     ,zs,300    ,3/2-          ,06,1940,p=100,2.5350470251223155e-26
40,09,058,9B,,27071.0     ,  2.3     ,4654.5     ,  2.5     ,Q,,,        ,  ,       ,3/2-    T=3/2 ,06,    ,,unknown
41,09,060,9C,,28911.0     ,  2.1     ,           ,          , ,,,126.5   ,ms,0.9    ,3/2-          ,06,1964,B+=100;B+p=7.5 6;B+A=38.4 16,4.008543108474662e-09
42,10,020,10He,,49200       , 90       ,           ,          , ,,,260     ,ys,40     ,0+            ,07,1994,2n=100,8.238902831647525e-30
43,10,030,10Li,,33053       , 13       ,           ,          , ,,,  2.0   ,zs,0.5    ,"(1-,2-)       ",07,1975,n=100,6.337617562805789e-29
44,10,031,10Li,,33250       , 40       , 200       , 40       ,Q,,,  3.7   ,zs,1.5    ,1+            ,07,1994,IT=100,1.1724592491190711e-28
45,10,032,10Li,,33530       , 40       , 480       , 40       ,Q,,,  1.35  ,zs,0.24   ,(2+)          ,07,1993,IT=100,4.277891854893908e-29
46,10,040,10Be,,12607.49    ,  0.08    ,           ,          , ,,,  1.387 ,My,0.012  ,0+            ,07,1935,B-=100,0.001387
47,10,048,10Be,,33787       , 21       ,1179       , 21       ,Q,,,        ,  ,       ,(2-)    T=2   ,07,    ,n ?;p ?;3H ?,unknown
48,10,050,10B,,12050.611   ,  0.015   ,           ,          , ,,,stbl    ,  ,       ,3+*           ,07,1920,IS=19.65 44,unknown
49,10,058,10B,,13790.66    ,  0.04    ,1740.05    ,  0.04    , ,,,        ,  ,       ,0+      T=1   ,07,    ,IT=100,unknown
50,10,060,10C,,15698.67    ,  0.07    ,           ,          , ,,, 19.3011, s,0.0015 ,0+            ,07,1949,B+=100,6.116149517073542e-07
51,10,070,10N,,38800       ,400       ,           ,          , ,,,143     ,ys,36     ,"1-,2-         ",17,2002,p ?,4.531396557406139e-30
52,11,030,11Li,,40728.3     ,  0.6     ,           ,          , ,,,  8.75  ,ms,0.06   ,3/2-*         ,12,1966,B-=100;B-n=86.3 9;B-2n=4.1 4;B-3n=1.9 2;B-A=1.7 3;B-d=0.0130 13;B-t=0.0093 8,2.7727076837275327e-10
53,11,040,11Be,,20177.17    ,  0.24    ,           ,          , ,,, 13.76  , s,0.07   ,1/2+*         ,12,1958,B-=100;B-A=3.3 1;B-p=0.0013 3;B-n ?,4.360280883210383e-07
54,11,048,11Be,,41336       , 20       ,1158       , 20       ,Q,,,  0.93  ,zs,0.13   ,3/2-    T=5/2 ,  ,1997,IT ?,2.9469921667046923e-29
55,11,050,11B,, 8667.708   ,  0.012   ,           ,          , ,,,stbl    ,  ,       ,3/2-*         ,12,1920,IS=80.35 44,unknown
56,11,058,11B,,21228       ,  9       ,2560       ,  9       ,Q,,,        ,  ,T=3/2  ,"1/2+,(3/2+)   ",12,1963,,unknown
57,11,059,11B,,42230       , 80       ,3570       , 80       ,p,,,        ,  ,       ,3/2-    T=5/2 ,  ,    ,,unknown
58,11,060,11C,,10649.40    ,  0.06    ,           ,          , ,,, 20.3402, m,0.0053 ,3/2-*         ,12,1934,B+=100,3.86725226252947e-05
59,11,068,11C,,22810       , 40       ,2160       , 40       ,Q,,,        ,  ,       ,1/2+    T=3/2 ,12,1971,p=?,unknown
60,11,070,11N,,24366       ,  5       ,           ,          , ,,,585     ,ys,7      ,1/2+          ,12,1974,p=100,1.8537531371206933e-29
61,11,071,11N,,25110       , 60       , 740       , 60       , ,,,690     ,ys,80     ,1/2-          ,12,1974,p=100,2.1864780591679972e-29
62,11,080,11O,,47740       , 60       ,           ,          , ,,,198     ,ys,12     ,(3/2-)        ,20,2019,2p=100,6.274241387177731e-30
63,12,030,12Li,,49010       , 30       ,           ,          , ,,,        ,  ,       ,"(1-,2-)       ",17,2008,n ?,unknown
64,12,040,12Be,,25077.8     ,  1.9     ,           ,          , ,,, 21.46  ,ms,0.05   ,0+            ,17,1966,B-=100;B-n=0.50 3,6.800263644890612e-10
65,12,041,12Be,,27328.8     ,  2.1     ,2251       ,  1       , ,,,233     ,ns,7      ,0+            ,17,2007,IT=100,7.383324460668746e-15
66,12,050,12B,,13369.4     ,  1.3     ,           ,          , ,,, 20.20  ,ms,0.02   ,1+*           ,17,1935,B-=100;B-A=0.60 2,6.400993738433847e-10
67,12,058,12B,,26088       , 19       ,2719       , 19       ,Q,,,        ,  ,       ,0+      T=2   ,17,    ,,unknown
68,12,060,12C,,    0.0     ,  0.0     ,           ,          , ,,,stbl    ,  ,       ,0+            ,17,1919,IS=98.94 6,unknown
69,12,068,12C,,15108       ,  3       ,5108       ,  3       ,Q,,,        ,  ,       ,1+      T=1   ,17,    ,IT=?;A ?,unknown
70,12,069,12C,,27595.0     ,  2.4     ,7595.0     ,  2.4     ,Q,,,        ,  ,       ,0+      T=2   ,17,    ,,unknown
71,12,070,12N,,17338.1     ,  1.0     ,           ,          , ,,, 11.000 ,ms,0.016  ,1+*           ,17,1949,B+=100;B+A=1.93 4,3.4856896595431844e-10
72,12,078,12N,,29580       ,  4       ,2242       ,  4       ,p,,, >5     ,zs,       ,(0+)    T=2   ,17,    ,,unknown
73,12,080,12O,,32013       , 12       ,           ,          , ,,,  8.9   ,zs,3.3    ,0+            ,17,1978,2p=100,2.8202398154485764e-28
74,13,030,13Li,,56980       , 70       ,           ,          , ,,,  3.3   ,zs,1.2    ,3/2-#         ,  ,2008,2n=100,1.0457068978629552e-28
75,13,040,13Be,,33659       , 10       ,           ,          , ,,,  1.0   ,zs,0.7    ,(1/2-)        ,  ,1983,n ?,3.1688087814028945e-29
76,13,043,13Be,,35160       , 50       ,1500       , 50       ,Q,,,        ,  ,       ,(5/2+)        ,  ,1992,,unknown
77,13,050,13B,,16561.9     ,  1.0     ,           ,          , ,,, 17.16  ,ms,0.18   ,3/2-          ,00,1956,B-=100;B-n=0.266 36,5.437675868887367e-10
78,13,060,13C,, 3125.0093  ,  0.0002  ,           ,          , ,,,stbl    ,  ,       ,1/2-*         ,01,1929,IS=1.06 6,unknown
79,13,068,13C,,18233.8     ,  1.1     ,5108.8     ,  1.1     ,Q,,,        ,  ,       ,3/2-    T=3/2 ,00,    ,IT=0.82 7;n ?;A ?,unknown
80,13,070,13N,, 5345.48    ,  0.27    ,           ,          , ,,,  9.965 , m,0.004  ,1/2-*         ,00,1934,B+=100,1.8946307704007908e-05
81,13,078,13N,,20410.59    ,  0.18    ,5065.1     ,  0.3     ,Q,,,        ,  ,       ,3/2-    T=3/2 ,00,    ,IT=4.9 3;p ?;A ?,unknown
82,13,080,13O,,23115       , 10       ,           ,          , ,,,  8.58  ,ms,0.05   ,(3/2-)        ,00,1963,B+=100;B+p=10.9 2,2.7188379344436836e-10
83,13,090,13F,,42030#      ,500#      ,           ,          , ,,,        ,  ,       ,1/2+#         ,  ,    ,p ?,unknown
84,14,040,14Be,,39950       ,130       ,           ,          , ,,,  4.53  ,ms,0.27   ,0+            ,01,1973,B-=100;B-n=86 6;B-2n=5 2;B-t=0.02 1;B-A<0.004,1.4354703779755113e-10
85,14,043,14Be,,41470       , 60       ,1520       ,150       ,Q,,,        ,  ,       ,(2+)          ,  ,1995,,unknown
86,14,050,14B,,23664       , 21       ,           ,          , ,,, 12.36  ,ms,0.29   ,2-            ,01,1966,B-=100;B-n=6.04 23;B-2n ?,3.916647653813978e-10
87,14,058,14B,,40728       , 20       ,7065       , 29       ,Q,,,  4.15  ,zs,1.9    ,0+      T=3   ,  ,2001,IT ?,1.3150556442822013e-28
88,14,060,14C,, 3019.893   ,  0.004   ,           ,          , ,,,  5.70  ,ky,0.03   ,0+            ,01,1936,B-=100,5700.0
89,14,068,14C,,25120       ,100       ,2100       ,100       , ,,,        ,  ,       ,(2-)    T=2   ,01,1989,IT=100,unknown
90,14,070,14N,, 2863.4168  ,  0.0002  ,           ,          , ,,,stbl    ,  ,       ,1+*           ,01,1920,IS=99.6205 247,unknown
91,14,078,14N,, 5176.007   ,  0.010   ,2312.590   ,  0.010   , ,,,        ,  ,       ,0+      T=1   ,01,1963,IT=100,unknown
92,14,080,14O,, 8007.781   ,  0.025   ,           ,          , ,,, 70.621 , s,0.011  ,0+            ,01,1949,B+=100,2.237844449514538e-06
93,14,090,14F,,31960       , 40       ,           ,          , ,,,500     ,ys,60     ,2-            ,14,2010,p ?,1.5844043907014473e-29
94,15,040,15Be,,49830       ,170       ,           ,          , ,,,790     ,ys,270    ,(5/2+)        ,15,2013,n=100,2.5033589373082868e-29
95,15,050,15B,,28957       , 21       ,           ,          , ,,, 10.18  ,ms,0.35   ,3/2-          ,02,1966,B-=100;B-n=98.7 10;B-2n<1.5,3.225847339468147e-10
96,15,060,15C,, 9873.1     ,  0.8     ,           ,          , ,,,  2.449 , s,0.005  ,1/2+          ,02,1950,B-=100,7.760412705655689e-08
97,15,070,15N,,  101.4381  ,  0.0006  ,           ,          , ,,,stbl    ,  ,       ,1/2-*         ,02,1929,IS=0.3795 247,unknown
98,15,078,15N,,11717       ,  4       ,1615       ,  4       ,Q,,,        ,  ,       ,1/2+    T=3/2 ,02,    ,n ?;p ?;IT=0.00523 19,unknown
99,15,080,15O,, 2855.6     ,  0.5     ,           ,          , ,,,122.266 , s,0.043  ,1/2-*         ,02,1934,B+=100,3.874375744670064e-06
100,15,088,15O,,14020#      , 40#      ,1165#      , 35#      , ,,,        ,  ,       ,(1/2+)  T=3/2 ,02,    ,p=100,unknown
101,15,090,15F,,16567       , 14       ,           ,          , ,,,  1.1   ,zs,0.3    ,1/2+          ,16,1978,p=100,3.4856896595431844e-29
102,15,100,15Ne,,40220       , 70       ,           ,          ,p,,,770     ,ys,300    ,(3/2-)        ,14,2014,2p=100,2.4399827616802287e-29
103,16,040,16Be,,57450       ,170       ,           ,          , ,,,650     ,ys,130    ,0+            ,15,2012,2n=100,2.0597257079118816e-29
104,16,050,16B,,37112       , 25       ,           ,          , ,,, >4.6   ,zs,       ,0-#           ,16,2000,n ?,unknown
105,16,060,16C,,13694       ,  4       ,           ,          , ,,,750     ,ms,6      ,0+            ,99,1961,B-=100;B-n=99.0 3,2.3766065860521712e-08
106,16,070,16N,, 5683.9     ,  2.3     ,           ,          , ,,,  7.13  , s,0.02   ,2-            ,99,1933,B-=100;B-A=0.00154 5,2.2593606611402638e-07
107,16,071,16N,, 5804.3     ,  2.3     , 120.42    ,  0.12    , ,,,  5.25  ,us,0.06   ,0-      T=1   ,99,1957,IT~100;B-=0.000389 25,1.6636246102365198e-13
108,16,078,16N,,15613       ,  7       ,9929       ,  7       ,Q,,,        ,  ,       ,0+      T=2   ,99,    ,,unknown
109,16,080,16O,,-4737.0021  ,  0.0003  ,           ,          , ,,,stbl    ,  ,       ,0+            ,99,1919,IS=99.757 11,unknown
110,16,083,16O,, 8231.60    ,  0.27    ,2968.6     ,  0.27    , ,,,        ,  ,       ,2-            ,99,    ,p=78 4;A=22 4;IT=0.28 3,unknown
111,16,088,16O,, 8059       ,  4       ,2796       ,  4       ,Q,,,        ,  ,       ,0-      T=1   ,99,    ,IT=100,unknown
112,16,089,16O,,17984       ,  4       ,2721       ,  4       ,Q,,,        ,  ,       ,0+      T=2   ,99,    ,,unknown
113,16,090,16F,,10675       ,  5       ,           ,          , ,,, 21     ,zs,5      ,0-            ,99,1964,p=100,6.654498440946079e-28
114,16,100,16Ne,,23987       , 20       ,           ,          , ,,, >5.7   ,zs,       ,0+            ,99,1977,2p=100,unknown
115,17,050,17B,,43720       ,200       ,           ,          , ,,,  5.08  ,ms,0.05   ,(3/2-)        ,99,1973,B-=100;B-n=63 1;B-2n=12 2;B-3n=3.5 7;B-4n=0.4 3                                           ,1.6097548609526705e-10
116,17,060,17C,,21032       , 17       ,           ,          , ,,,193     ,ms,6      ,3/2+          ,17,1968,B-=100;B-n=28.4 13;B-2n ?,6.115800948107587e-09
117,17,070,17N,, 7870       , 15       ,           ,          , ,,,  4.173 , s,0.004  ,1/2-          ,99,1949,B-=100;B-n=95.1 7;B-A=0.0025 4,1.322343904479428e-07
118,17,080,17O,, -808.7642  ,  0.0006  ,           ,          , ,,,stbl    ,  ,       ,5/2+*         ,99,1925,IS=0.03835 96,unknown
119,17,088,17O,,10270.02    ,  0.17    ,1078.78    ,  0.17    ,Q,,,        ,  ,       ,1/2-    T=3/2 ,99,    ,B- ?;n ?;IT=0.42 14,unknown
120,17,090,17F,, 1951.70    ,  0.25    ,           ,          , ,,, 64.370 , s,0.027  ,5/2+          ,99,1934,B+=100,2.0397622125890433e-06
121,17,098,17F,,13144.7     ,  1.9     ,1193.0     ,  1.9     ,Q,,,        ,  ,       ,1/2-    T=3/2 ,99,    ,,unknown
122,17,100,17Ne,,16500.5     ,  0.4     ,           ,          , ,,,109.2   ,ms,0.6    ,1/2-*         ,99,1963,B+=100;B+p=94.4 29;B+A=3.51 1;B+pA=0.014 4,3.460339189291961e-09
123,17,110,17Na,,34720       , 60       ,           ,          , ,,,        ,  ,       ,(1/2+)        ,17,2017,p=100,unknown
124,18,050,18B,,51790       ,200       ,           ,          , ,,,        ,  ,<26 ns ,(2-)          ,16,2010,n=100,unknown
125,18,060,18C,,24920       , 30       ,           ,          , ,,, 92     ,ms,2      ,0+            ,17,1969,B-=100;B-n=31.5 15;B-2n ?,2.915304078890663e-09
126,18,070,18N,,13113       , 19       ,           ,          , ,,,619.2   ,ms,1.9    ,1-            ,96,1964,B-=100;B-n=7.0 15;B-A=12.2 6;B-2n ?,1.9621263974446726e-08
127,18,080,18O,, -782.8163  ,  0.0006  ,           ,          , ,,,stbl    ,  ,       ,0+            ,96,1929,IS=0.2045 102,unknown
128,18,088,18O,,15495       , 20       ,6278       , 20       , ,,,        ,  ,       ,1-      T=2   ,  ,    ,,unknown
129,18,090,18F,,  873.1     ,  0.5     ,           ,          , ,,,109.734 , m,0.008  ,1+            ,96,1937,B+=100,0.00020863563769107915
130,18,091,18F,, 1994.5     ,  0.5     ,1121.36    ,  0.15    , ,,,162     ,ns,7      ,5+            ,96,    ,IT=100,5.13347022587269e-15
131,18,098,18F,, 1914.7     ,  0.5     ,1041.55    ,  0.08    , ,,,        ,  ,       ,0+      T=1   ,96,    ,IT=100,unknown
132,18,100,18Ne,, 5317.6     ,  0.4     ,           ,          , ,,,664.20  ,ms,0.47   ,0+            ,96,1954,B+=100,2.1047227926078028e-08
133,18,110,18Na,,25040       , 90       ,           ,          , ,,,  1.3   ,zs,0.4    ,1-#           ,15,2004,p=?,4.119451415823763e-29
134,19,050,19B,,59770       ,530       ,           ,          , ,,,  2.92  ,ms,0.13   ,(3/2-)        ,18,1984,B-=100;B-n=71 9;B-2n=17 5;B-3n<9.1,9.252921641696452e-11
135,19,060,19C,,32410       ,100       ,           ,          , ,,, 46.2   ,ms,2.3    ,1/2+          ,17,1974,B-=100;B-n=47 3;B-2n=7 3,1.4639896570081375e-09
136,19,070,19N,,15856       , 16       ,           ,          , ,,,336     ,ms,3      ,1/2-          ,96,1968,B-=100;B-n=41.8 9,1.0647197505513727e-08
137,19,080,19O,, 3332.9     ,  2.6     ,           ,          , ,,, 26.470 , s,0.006  ,5/2+          ,96,1936,B-=100,8.387836844373462e-07
138,19,090,19F,,-1487.4451  ,  0.0008  ,           ,          , ,,,stbl    ,  ,       ,1/2+*         ,96,1920,IS=100,unknown
139,19,098,19F,, 6052.2     ,  0.9     ,7539.6     ,  0.9     , ,,,        ,  ,       ,5/2+    T=3/2 ,96,    ,IT=100,unknown
140,19,100,19Ne,, 1752.05    ,  0.16    ,           ,          , ,,, 17.2569, s,0.0019 ,1/2+*         ,96,1939,B+=100,5.468381625979162e-07
141,19,108,19Ne,, 9253       ,  9       ,7501       ,  9       ,Q,,,        ,  ,       ,(5/2)+  T=3/2 ,96,    ,,unknown
142,19,110,19Na,,12929       , 11       ,           ,          , ,,, >1     ,as,       ,(5/2+)        ,15,1969,p=100,unknown
143,19,120,19Mg,,31840       , 60       ,           ,          , ,,,  5     ,ps,3      ,1/2-#         ,14,2007,2p=100,1.5844043907014475e-19
144,20,050,20B,,69400       ,550       ,           ,          , ,,,912.4   ,ys,       ,"(1-,2-)       ",19,2018,n=100;B-n ?;B-2n ?,2.891221132152001e-29
145,20,060,20C,,37500       ,230       ,           ,          , ,,, 16     ,ms,3      ,0+            ,17,1981,B-=100;B-n=70 11;B-2n<18.6,5.070094050244632e-10
146,20,070,20N,,21770       , 80       ,           ,          , ,,,136     ,ms,3      ,(2-)          ,18,1969,B-=100;B-n=42.9 14;B-2n ?,4.309579942707937e-09
147,20,080,20O,, 3796.2     ,  0.9     ,           ,          , ,,, 13.51  , s,0.05   ,0+            ,98,1959,B-=100,4.2810606636753105e-07
148,20,090,20F,,  -17.463   ,  0.030   ,           ,          , ,,, 11.0062, s,0.0080 ,2+            ,98,1935,B-=100,3.487654320987654e-07
149,20,098,20F,, 6503       ,  3       ,6521       ,  3       ,Q,,,        ,  ,       ,0+      T=2   ,98,    ,,unknown
150,20,100,20Ne,,-7041.9322  ,  0.0015  ,           ,          , ,,,stbl    ,  ,       ,0+            ,98,1913,IS=90.48 3,unknown
151,20,108,20Ne,, 3230.5     ,  2.0     ,0272.5     ,  2.0     ,Q,,,        ,  ,       ,2+      T=1   ,98,    ,IT=100,unknown
152,20,109,20Ne,, 9690.9     ,  2.8     ,6732.8     ,  2.8     ,Q,,,        ,  ,       ,0+      T=2   ,98,    ,IT=100,unknown
153,20,110,20Na,, 6850.5     ,  1.1     ,           ,          , ,,,447.9   ,ms,2.3    ,2+*           ,98,1950,B+=100;B+A=25.0 4,1.4193094531903566e-08
154,20,118,20Na,,13348.9     ,  1.2     ,6498.4     ,  0.5     , ,,,        ,  ,       ,0+      T=2   ,98,1979,p=100,unknown
155,20,120,20Mg,,17477.7     ,  1.9     ,           ,          , ,,, 90.4   ,ms,0.5    ,0+            ,16,1974,B+=100;B+p=30.3 12,2.8646031383882172e-09
156,21,050,21B,,78380       ,560       ,           ,          , ,,,760     ,ys,       ,(3/2-)        ,19,2018,2n=100,2.4082946738662e-29
157,21,060,21C,,45640#      ,600#      ,           ,          , ,,,        ,  ,<30ns  ,1/2+#         ,15,    ,n ?,unknown
158,21,070,21N,,25230       ,130       ,           ,          , ,,, 85     ,ms,5      ,(1/2-)        ,15,1970,B-=100;B-n=87 3;B-2n ?,2.6934874641924605e-09
159,21,080,21O,, 8062       , 12       ,           ,          , ,,,  3.42  , s,0.10   ,(5/2+)        ,15,1968,B-=100;B-n ?,1.08373260323979e-07
160,21,090,21F,,  -47.6     ,  1.8     ,           ,          , ,,,  4.158 , s,0.020  ,5/2+          ,15,1955,B-=100,1.3175906913073238e-07
161,21,100,21Ne,,-5731.78    ,  0.04    ,           ,          , ,,,stbl    ,  ,       ,3/2+*         ,15,1928,IS=0.27 1,unknown
162,21,108,21Ne,, 3129.0     ,  0.3     ,8860.8     ,  0.3     , ,,,        ,  ,       ,5/2+    T=3/2 ,15,    ,,unknown
163,21,110,21Na,,-2184.86    ,  0.04    ,           ,          , ,,, 22.4550, s,0.0054 ,3/2+*         ,15,1940,B+=100,7.1155601186402e-07
164,21,118,21Na,, 6790       ,  4       ,8975       ,  4       , ,,,        ,  ,       ,5/2+    T=3/2 ,15,    ,,unknown
165,21,120,21Mg,,10903.9     ,  0.8     ,           ,          , ,,,120.0   ,ms,0.4    ,5/2+*         ,15,1963,B+=100;B+p=20.1 21;B+A=0.116 18;B+pA=0.016 3,3.802570537683474e-09
166,21,130,21Al,,27090#      ,600#      ,           ,          , ,,,        ,  ,<35ns  ,5/2+#         ,15,    ,p ?,unknown
167,22,060,22C,,53610       ,230       ,           ,          , ,,,  6.2   ,ms,1.3    ,0+            ,15,1986,B-=100;B-n=61 14;B-2n<37,1.964661444469795e-10
168,22,070,22N,,31760       ,210       ,           ,          , ,,, 23     ,ms,3      ,0-#           ,15,1979,B-=100;B-n=34 3;B-2n=12 3,7.288260197226658e-10
169,22,080,22O,, 9280       , 60       ,           ,          , ,,,  2.25  , s,0.09   ,0+            ,15,1969,B-=100;B-n<22,7.129819758156513e-08
170,22,090,22F,, 2793       , 12       ,           ,          , ,,,  4.23  , s,0.04   ,(4+)          ,15,1965,B-=100;B-n<11,1.3404061145334246e-07
171,22,100,22Ne,,-8024.716   ,  0.018   ,           ,          , ,,,stbl    ,  ,       ,0+            ,15,1913,IS=9.25 3,unknown
172,22,108,22Ne,, 5855       , 10       ,3880       , 10       , ,,,        ,  ,       ,4+      T=2   ,15,    ,,unknown
173,22,110,22Na,,-5181.39    ,  0.13    ,           ,          , ,,,  2.6019, y,0.0006 ,3+*           ,15,1935,B+=100;e+=90.57 8;EC=9.43 6,2.6019
174,22,111,22Na,,-4598.34    ,  0.16    , 583.05    ,  0.10    , ,,,243     ,ns,2      ,1+            ,15,1958,IT=100,7.700205338809035e-15
175,22,118,22Na,,-4524.39    ,  0.19    , 657.00    ,  0.14    , ,,, 19.6   ,ps,0.7    ,0+      T=1   ,15,    ,IT=100,6.210865211549675e-19
176,22,120,22Mg,, -399.99    ,  0.16    ,           ,          , ,,,  3.8745, s,0.0007 ,0+            ,15,1961,B+=100,1.2277549623545516e-07
177,22,128,22Mg,,13644       ,  6       ,4044       ,  6       , ,,,        ,  ,       ,(4)+    T=2   ,15,    ,A=?;p=?,unknown
178,22,130,22Al,,18200#      ,400#      ,           ,          , ,,, 91.1   ,ms,0.5    ,(4)+          ,15,1982,B+=100;B+p=55 3;B+2p=1.10 11;B+A=0.038 17,2.886784799858037e-09
179,22,140,22Si,,33640#      ,500#      ,           ,          , ,,, 28.7   ,ms,1.1    ,0+            ,15,1987,B+=100;B+p=62 5;B+2p=0.7 3,9.094481202626308e-10
180,23,060,23C,,64170#      ,000#      ,           ,          , ,,,        ,  ,       ,3/2+#         ,  ,    ,n ?,unknown
