,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
1918,-4781.4051,2.6019,22Na,0.0,unknown,82109719.44,unknown,0.0,0.9562419473763828
1919,13699.0,unknown,86Zn,0.0,unknown,unknown,unknown,0.0,0.0
1920,-5121.1683,2.490683702182675e-06,72Br,0.0,unknown,78.59999999999998,unknown,0.0,-12.902953305987795
1921,-2293.0,0.0876495550992471,169Yb,0.0,3.7312,2766009.6,0.2669100035408845,0.0,-2.434408743506303
1922,-5787.641,2.4082946738662e-06,165Hf,0.0,unknown,75.99999999999999,unknown,0.0,-12.936591665136625
1923,-7685.8265,2.851927903262605e-07,175Ir,0.0,unknown,8.999999999999998,unknown,0.0,-15.070100428086736
1924,-3030.4336,unknown,115Sn,0.0,unknown,unknown,unknown,0.0,0.0
1925,16639.0,1.5844043907014473e-10,59Ca,0.0,unknown,0.004999999999999999,unknown,0.0,-22.56564237197099
1926,4165.4444,6.0207366846655e-08,118Pd,1.0,unknown,1.8999999999999997,unknown,0.0,-16.625471119250562
1927,7238.4816,2.915304078890663e-08,119Pd,1.0,unknown,0.9199999999999999,unknown,0.0,-17.350706614362007
1928,-2132.8689,0.21146064339493498,56Co,0.0,178.8,6673190.4,15.999363775689385,0.0,-1.5537163810505166
1929,3339.4064,1.964661444469795e-06,235Ac,1.0,unknown,62.0,unknown,0.0,-13.140190620377865
1930,13987.0,2.8519279032626055e-10,101Kr,0.0,unknown,0.009,unknown,0.0,-21.977855707068873
1931,-8335.0,1.0773949856769841e-07,167Re,0.0,unknown,3.3999999999999995,unknown,0.0,-16.043549573800842
1932,-2858.0499,0.00121948437143509,195Hg,0.0,1.37,38483.99999999999,6.10461954901222,0.0,-6.709327155941801
1933,2674.0,3.042056430146779e-05,243U,0.0,unknown,960.0,unknown,0.0,-10.400391720961075
1934,16036.3062,7.351636372854716e-09,46Cl,1.0,unknown,0.23199999999999998,unknown,0.0,-18.728342912738782
1935,-4392.8615,1.872765989809111e-06,208Fr,0.0,unknown,59.1,unknown,0.0,-13.188094081010904
1936,-4728.0,3.802570537683474e-06,237Bk,0.0,unknown,120.0,unknown,0.0,-12.47983326264091
1937,-18759.0,2.7251755520064897e-09,58Zn,0.0,unknown,0.086,unknown,0.0,-19.720732988151585
1938,-3261.1584,0.17753867214236824,85Sr,0.0,1.68,5602694.399999999,0.11796418163430276,0.0,-1.7285668225725452
1939,-5472.6536,0.0001916495550992471,87Zr,0.0,unknown,6048.0,unknown,0.0,-8.559842087563586
