decay_routes
"89Ru,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"89Ru,ECP,3.1%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
