decay_routes
"142Sb,B-,100%,3283.0keV,0.053seconds,142Te,stable"
"142Sb,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"142Sb,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
