decay_routes
"160W,A,87%,5143.44keV,0.091seconds,156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"160W,EC+B+,13%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"160W,A,87%,5143.44keV,0.091seconds,156Hf,A,100%,5873.0keV,0.023seconds,152Yb,B+P, %,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
