decay_routes
"226Pa,A,74%,5013.95keV,108seconds,222Ac,A,99%,6935.81keV,5seconds,218Fr,A,100%,7843.08keV,0.0011seconds,214At,A,100%,8814.81keV,0.000000558seconds,210Bi,B-,100%,389.0keV,433036.8seconds,210Po,A,100%,5304.38keV,11955686.4seconds,206Pb,stable"
"226Pa,EC+B+,26%,0.0keV,108seconds,226Th,A,100%,6306.24keV,1834.2seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,B-,100%,389.0keV,433036.8seconds,210Po,A,100%,5304.38keV,11955686.4seconds,206Pb,stable"
"226Pa,A,74%,5013.95keV,108seconds,222Ac,EC+B+,1%,0.0keV,5seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,B-,100%,389.0keV,433036.8seconds,210Po,A,100%,5304.38keV,11955686.4seconds,206Pb,stable"
"226Pa,EC+B+,26%,0.0keV,108seconds,226Th,A,100%,6306.24keV,1834.2seconds,222Ra,14C,0.00000003%,14C not yet accounted for,14C not accounted for ,14C not yet accounted for"
"226Pa,A,74%,5013.95keV,108seconds,222Ac,EC+B+,1%,0.0keV,5seconds,222Ra,14C,0.00000003%,14C not yet accounted for,14C not accounted for ,14C not yet accounted for"
"226Pa,A,74%,5013.95keV,108seconds,222Ac,A,99%,6935.81keV,5seconds,218Fr,A,100%,7843.08keV,0.0011seconds,214At,A,100%,8814.81keV,0.000000558seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"226Pa,EC+B+,26%,0.0keV,108seconds,226Th,A,100%,6306.24keV,1834.2seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"226Pa,A,74%,5013.95keV,108seconds,222Ac,EC+B+,1%,0.0keV,5seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"226Pa,EC+B+,26%,0.0keV,108seconds,226Th,A,100%,6306.24keV,1834.2seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"226Pa,A,74%,5013.95keV,108seconds,222Ac,EC+B+,1%,0.0keV,5seconds,222Ra,A,100%,6546.74keV,38seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
