decay_routes
"64V,B-,100%,5763.33keV,0.015seconds,64Cr,B-,100%,4377.58keV,0.0429seconds,64Mn,B-,100%,3712.75keV,0.09seconds,64Fe,B-,100%,2237.5keV,2seconds,64Co,B-,100%,3288.65keV,0.3seconds,64Ni,stable"
"64V,B-3N, %,B-3N not yet accounted for,B-3N not accounted for ,B-3N not yet accounted for"
"64V,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"64V,B-,100%,5763.33keV,0.015seconds,64Cr,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"64V,B-,100%,5763.33keV,0.015seconds,64Cr,B-,100%,4377.58keV,0.0429seconds,64Mn,B-N,2.7%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
