decay_routes
"87Mo,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"87Mo,B+P,15%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
