decay_routes
"34Ne,B-, %,Energy not foundkeV,0.00000006seconds,34Na,B-,100%,7576.0keV,0.0055seconds,34Mg,B-,100%,3870.0keV,0.02seconds,34Al,B-,100%,4408.26keV,0.0563seconds,34Si,B-,100%,686.54keV,2.77seconds,34P,B-,100%,2303.62keV,12.43seconds,34S,stable"
"34Ne,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"34Ne,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"34Ne,B-, %,Energy not foundkeV,0.00000006seconds,34Na,B-2N,50%,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"34Ne,B-, %,Energy not foundkeV,0.00000006seconds,34Na,B-N,15%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"34Ne,B-, %,Energy not foundkeV,0.00000006seconds,34Na,B-,100%,7576.0keV,0.0055seconds,34Mg,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"34Ne,B-, %,Energy not foundkeV,0.00000006seconds,34Na,B-,100%,7576.0keV,0.0055seconds,34Mg,B-,100%,3870.0keV,0.02seconds,34Al,B-N,26%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
