decay_routes
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,A,99.98%,6001.14keV,185.82seconds,214Pb,B-,100%,224.67keV,1623.6seconds,214Bi,B-,99.979%,640.02keV,1182.6seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,A,99.95%,6686.02keV,1.28seconds,214Bi,B-,99.979%,640.02keV,1182.6seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,B-,0.05%,960.33keV,1.28seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,A,99.98%,6001.14keV,185.82seconds,214Pb,B-,100%,224.67keV,1623.6seconds,214Bi,A,0.021%,1.15keV,1182.6seconds,210Tl,B-,100%,1216.09keV,78seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,A,99.95%,6686.02keV,1.28seconds,214Bi,A,0.021%,1.15keV,1182.6seconds,210Tl,B-,100%,1216.09keV,78seconds,210Pb,A,0.0000019%,0.0keV,700563756.6359425seconds,206Hg,B-,100%,400.35keV,499.2seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,A,99.98%,6001.14keV,185.82seconds,214Pb,B-,100%,224.67keV,1623.6seconds,214Bi,B-,99.979%,640.02keV,1182.6seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,A,99.95%,6686.02keV,1.28seconds,214Bi,B-,99.979%,640.02keV,1182.6seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,B-,0.05%,960.33keV,1.28seconds,218Rn,A,100%,7128.23keV,0.03375seconds,214Po,A,100%,7686.73keV,0.00016346seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,A,99.98%,6001.14keV,185.82seconds,214Pb,B-,100%,224.67keV,1623.6seconds,214Bi,A,0.021%,1.15keV,1182.6seconds,210Tl,B-,100%,1216.09keV,78seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
"230Ac,B-,100%,879.14keV,122seconds,230Th,A,100%,4664.13keV,2379392218484.237seconds,226Ra,A,100%,4773.38keV,50491081559.3472seconds,222Rn,A,100%,5489.0keV,330350.4seconds,218Po,B-,0.02%,86.67keV,185.82seconds,218At,A,99.95%,6686.02keV,1.28seconds,214Bi,A,0.021%,1.15keV,1182.6seconds,210Tl,B-,100%,1216.09keV,78seconds,210Pb,B-,100%,6.08keV,700563756.6359425seconds,210Bi,A,0.000132%,0.00617keV,433036.8seconds,206Tl,B-,100%,538.37keV,252.12seconds,206Pb,stable"
