decay_routes
"36Mg,B-,100%,4810.0keV,0.0076seconds,36Al,B-,100%,6123.33keV,0.09seconds,36Si,B-,100%,2909.06keV,0.45seconds,36P,B-,100%,1872.46keV,5.6seconds,36S,stable"
"36Mg,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"36Mg,B-,100%,4810.0keV,0.0076seconds,36Al,B-N,31%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"36Mg,B-,100%,4810.0keV,0.0076seconds,36Al,B-,100%,6123.33keV,0.09seconds,36Si,B-N,10%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
