decay_routes
"28P,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"28P,ECP,0.0013%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
"28P,ECA,0.00086%,ECA not yet accounted for,ECA not accounted for ,ECA not yet accounted for"
