decay_routes
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,A,90%,4371.91keV,10.3seconds,148Dy,EC+B+,100%,17.91keV,198seconds,148Tb,EC+B+,100%,818.13keV,3600seconds,148Gd,A,100%,3182.69keV,2243697436.7934914seconds,144Sm,stable"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,B+P, %,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,EC+B+,10%,17.46keV,10.3seconds,152Ho,EC+B+,88%,685.27keV,161.8seconds,152Dy,EC+B+,99.9%,0.0keV,8568seconds,152Tb,EC+B+,100%,231.44keV,63000seconds,152Gd,A,100%,2146.9keV,3.408148005255936e21seconds,148Sm,A,100%,1932.3keV,2.20898481822144e23seconds,144Nd,A,100%,1850.24keV,7.226536048181568e22seconds,140Ce,stable"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,EC+B+,10%,17.46keV,10.3seconds,152Ho,A,12%,528.34keV,161.8seconds,148Tb,EC+B+,100%,818.13keV,3600seconds,148Gd,A,100%,3182.69keV,2243697436.7934914seconds,144Sm,stable"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,EC+B+,10%,17.46keV,10.3seconds,152Ho,EC+B+,88%,685.27keV,161.8seconds,152Dy,A,0.1%,3.63keV,8568seconds,148Gd,A,100%,3182.69keV,2243697436.7934914seconds,144Sm,stable"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,EC+B+,10%,17.46keV,10.3seconds,152Ho,EC+B+,88%,685.27keV,161.8seconds,152Dy,EC+B+,99.9%,0.0keV,8568seconds,152Tb,A,0.0000007%,0.0keV,63000seconds,148Eu,EC+B+,100%,0.351keV,4708800seconds,148Sm,A,100%,1932.3keV,2.20898481822144e23seconds,144Nd,A,100%,1850.24keV,7.226536048181568e22seconds,140Ce,stable"
"156Hf,A,100%,5873.0keV,0.023seconds,152Yb,EC+B+,100%,1202.9keV,3.03seconds,152Tm,EC+B+,100%,443.78keV,8seconds,152Er,EC+B+,10%,17.46keV,10.3seconds,152Ho,EC+B+,88%,685.27keV,161.8seconds,152Dy,EC+B+,99.9%,0.0keV,8568seconds,152Tb,A,0.0000007%,0.0keV,63000seconds,148Eu,A,0.00000094%,0.0keV,4708800seconds,144Pm,EC+B+,100%,0.0keV,31363200seconds,144Nd,A,100%,1850.24keV,7.226536048181568e22seconds,140Ce,stable"
