decay_routes
"142Ho,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"142Ho,P,0%,5267.72keV,P not accounted for ,141Dy,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"142Ho,ECP,0%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
"142Ho,P,0%,5267.72keV,P not accounted for ,141Dy,B+P, %,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
