decay_routes
"50Ar,B-,100%,4133.33keV,0.106seconds,50K,B-,100%,5186.8keV,0.472seconds,50Ca,B-,100%,1336.4keV,13.45seconds,50Sc,B-,100%,1619.75keV,102.5seconds,50Ti,stable"
"50Ar,B-N,37%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"50Ar,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"50Ar,B-,100%,4133.33keV,0.106seconds,50K,B-N,29%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"50Ar,B-,100%,4133.33keV,0.106seconds,50K,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
