decay_routes
"115Ba,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"115Ba,B+P,15%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
