decay_routes
"100In,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"100In,ECP,1.66%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
