decay_routes
"116Mo,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"116Mo,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"116Mo,B-, %,3431.37keV,0.032seconds,116Tc,B-,100%,3693.0keV,0.057seconds,116Ru,B-,100%,1843.0keV,0.204seconds,116Rh,B-,100%,2956.7keV,0.68seconds,116Pd,B-,100%,995.24keV,11.8seconds,116Ag,B-,100%,1950.29keV,230seconds,116Cd,2B-, %,2B- not yet accounted for,2B- not accounted for ,2B- not yet accounted for"
"116Mo,B-, %,3431.37keV,0.032seconds,116Tc,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"116Mo,B-, %,3431.37keV,0.032seconds,116Tc,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"116Mo,B-, %,3431.37keV,0.032seconds,116Tc,B-,100%,3693.0keV,0.057seconds,116Ru,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
