decay_routes
"74Co,B-,100%,5167.0keV,0.0313seconds,74Ni,B-,100%,2683.0keV,0.5077seconds,74Cu,B-,100%,2511.0keV,1.63seconds,74Zn,B-,100%,1508.78keV,95.6seconds,74Ga,B-,100%,989.9keV,487.2seconds,74Ge,stable"
"74Co,B-N,18%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"74Co,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"74Co,B-,100%,5167.0keV,0.0313seconds,74Ni,B-N, %,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"74Co,B-,100%,5167.0keV,0.0313seconds,74Ni,B-,100%,2683.0keV,0.5077seconds,74Cu,B-N,0%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
