decay_routes
"152Lu,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"152Lu,B+P,15%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
