decay_routes
"52Ni,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"52Ni,B+P,31.4%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
