decay_routes
"238Cf,SF,95%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"238Cf,A,5%,Energy not foundkeV,0.0211seconds,234Cm,SF,40%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"238Cf,A,5%,Energy not foundkeV,0.0211seconds,234Cm,A,40%,Energy not foundkeV,51seconds,230Pu,A,100%,7045.98keV,102seconds,226U,A,100%,7539.15keV,0.268seconds,222Th,A,100%,15942.47keV,0.00224seconds,218Ra,A,100%,Energy not foundkeV,0.00002591seconds,214Rn,A,100%,0.0keV,0.000000259seconds,210Po,A,100%,5304.38keV,11955686.4seconds,206Pb,stable"
"238Cf,A,5%,Energy not foundkeV,0.0211seconds,234Cm,EC+B+,20%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
