decay_routes
"213Tl,B-,100%,483.81keV,23.8seconds,213Pb,B-,100%,Energy not foundkeV,612seconds,213Bi,B-,97.86%,423.97keV,2735.4seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"213Tl,B-N,7.6%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"213Tl,B-,100%,483.81keV,23.8seconds,213Pb,B-,100%,Energy not foundkeV,612seconds,213Bi,A,2.14%,125.15keV,2735.4seconds,209Tl,B-,100%,647.89keV,129.72seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
