decay_routes
"160Re,P,89%,0.0keV,P not accounted for ,159W,A,99.9%,6263.52keV,0.0073seconds,155Hf,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"160Re,A,11%,718.3keV,0.000612seconds,156Ta,P,71%,0.0keV,P not accounted for ,155Hf,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"160Re,P,89%,0.0keV,P not accounted for ,159W,EC+B+,0.1%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"160Re,A,11%,718.3keV,0.000612seconds,156Ta,EC+B+,29%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
