decay_routes
"47Fe,EC+B+,100%,0.0keV,0.0218seconds,47Mn,EC+B+,100%,0.0keV,0.1seconds,47Cr,EC+B+,100%,3008.62keV,0.5seconds,47V,EC+B+,100%,803.03keV,1956seconds,47Ti,stable"
"47Fe,ECP,0%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
"47Fe,EC2P, %,EC2P not yet accounted for,EC2P not accounted for ,EC2P not yet accounted for"
"47Fe,EC+B+,100%,0.0keV,0.0218seconds,47Mn,ECP,3.4%,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
