decay_routes
"64Se,EC+B+,100%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"64Se,ECP, %,ECP not yet accounted for,ECP not accounted for ,ECP not yet accounted for"
