decay_routes
"85Ge,B-,100%,3029.0keV,0.503seconds,85As,B-,100%,2836.0keV,2.021seconds,85Se,B-,100%,1866.95keV,32.9seconds,85Br,B-,100%,1057.79keV,174seconds,85Kr,B-,100%,250.68keV,338889828.0411435seconds,85Rb,stable"
"85Ge,B-N,16.5%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"85Ge,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"85Ge,B-,100%,3029.0keV,0.503seconds,85As,B-N,62.9%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
