decay_routes
"220Po,B-, %,Energy not foundkeV,0.0000003seconds,220At,B-,92%,1154.16keV,222.6seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,B-,64.06%,493.92keV,3633seconds,212Po,A,100%,8784.86keV,0.0000002943seconds,208Pb,stable"
"220Po,B-, %,Energy not foundkeV,0.0000003seconds,220At,A,8%,475.44keV,222.6seconds,216Bi,B-,100%,0.0keV,135seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,B-,64.06%,493.92keV,3633seconds,212Po,A,100%,8784.86keV,0.0000002943seconds,208Pb,stable"
"220Po,B-, %,Energy not foundkeV,0.0000003seconds,220At,B-,92%,1154.16keV,222.6seconds,220Rn,A,100%,6287.46keV,55.6seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,A,35.94%,2175.34keV,3633seconds,208Tl,B-,100%,559.47keV,183.18seconds,208Pb,stable"
"220Po,B-, %,Energy not foundkeV,0.0000003seconds,220At,A,8%,475.44keV,222.6seconds,216Bi,B-,100%,0.0keV,135seconds,216Po,A,100%,6778.28keV,0.145seconds,212Pb,B-,100%,100.22keV,38239.2seconds,212Bi,A,35.94%,2175.34keV,3633seconds,208Tl,B-,100%,559.47keV,183.18seconds,208Pb,stable"
