decay_routes
"166Pt,A,100%,7110.0keV,0.0003seconds,162Os,A,99%,6602.0keV,0.0021seconds,158W,A,100%,6445.0keV,0.00125seconds,154Hf,EC+B+,100%,0.0keV,2seconds,154Lu,stable"
"166Pt,A,100%,7110.0keV,0.0003seconds,162Os,A,99%,6602.0keV,0.0021seconds,158W,A,100%,6445.0keV,0.00125seconds,154Hf,A,0%,0.0keV,2seconds,150Yb,stable"
