decay_routes
"109Te,EC+B+,96.1%,0.0keV,4.4seconds,EC+B+ not yet accounted for"
"109Te,B+P,9.4%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
"109Te,A,3.9%,123.2keV,4.4seconds,105Sn,EC+B+,100%,1025.57keV,32.7seconds,EC+B+ not yet accounted for"
"109Te,A,3.9%,123.2keV,4.4seconds,105Sn,B+P,0.011%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
