decay_routes
"9C,EC+B+,100%,0.0keV,0.1265seconds,EC+B+ not yet accounted for"
"9C,B+P,62%,B+P not yet accounted for,B+P not accounted for ,B+P not yet accounted for"
"9C,B+A,37.9%,B+A not yet accounted for,B+A not accounted for ,B+A not yet accounted for"
