decay_routes
"79Cu,B-,100%,3709.0keV,0.241seconds,79Zn,B-,100%,3016.0keV,0.746seconds,79Ga,B-,100%,2446.16keV,2.848seconds,79Ge,B-,100%,1692.04keV,18.98seconds,79As,B-,100%,839.0keV,540.6seconds,79Se,B-,100%,55.8keV,10319114793691.584seconds,79Br,stable"
"79Cu,B-N,66%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"79Cu,B-2N, %,B-2N not yet accounted for,B-2N not accounted for ,B-2N not yet accounted for"
"79Cu,B-,100%,3709.0keV,0.241seconds,79Zn,B-N,1.7%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
"79Cu,B-,100%,3709.0keV,0.241seconds,79Zn,B-,100%,3016.0keV,0.746seconds,79Ga,B-N,0.089%,B-N not yet accounted for,B-N not accounted for ,B-N not yet accounted for"
