,e-Folding Time (seconds),Average beta-decay energy,Daughter
183Pt,562.6510659466958,5.69,183Au
183Au,61.74734775004762,5.69,183Hg
183Hg,13.561333384356255,5.69,183Tl
183Tl,9.954595782133847,5.69,183Pb
183Pb,0.7718418468755953,5.69,183Bi
