,e-Folding Time (seconds),Average beta-decay energy,Daughter
37Mg,0.011541560327111709,5.69,37Al
37Al,0.01644672346613418,5.69,37Si
37Si,0.20342000076534383,5.69,37P
37P,3.3326255444535056,5.69,37S
37S,437.1365973893559,5.69,37Cl
