,e-Folding Time (seconds),Average beta-decay energy,Daughter
85Ga,0.13748883739671824,5.69,85Ge
85Ge,0.7141340452400369,5.69,85As
85As,2.9171293726774836,5.69,85Se
85Se,47.46466684524689,5.69,85Br
85Br,251.0289371146796,5.69,85Kr
85Kr,488424309.1438519,1.5,85Rb
