,e-Folding Time (seconds),Average beta-decay energy,Daughter
135Te,27.411205776890302,5.69,135I
135I,34174.56012857777,60.0,135Xe
135Xe,47470.43762541045,23.0,135Cs
135Cs,60552.23071973555,3.55,135Ba
