,e-Folding Time (seconds),Average beta-decay energy,Daughter
210Fr,275.26621380161424,5.69,210Ra
210Ra,5.7707801635558535,5.69,210Ac
210Ac,0.5049432643111372,5.69,210Th
210Th,0.023083120654223417,5.69,210Pa
