,e-Folding Time (seconds),Average beta-decay energy,Daughter
100Sr,0.29156866776365953,5.69,100Y
100Y,1.3561333384356256,5.69,100Zr
100Zr,10.243134790311638,5.69,100Nb
100Nb,2.164042561333445,5.69,100Mo
100Mo,3.218829106680679e+26,5.69,100Tc
100Tc,22.304065332143374,5.69,100Ru
