,e-Folding Time (seconds),Average beta-decay energy,Daughter
95Tc,100020.31595078275,225.8,95Ru
95Ru,8346.279350550833,5.69,95Rh
95Rh,434.5397463157558,5.69,95Pd
95Pd,10.67594330257833,5.69,95Ag
95Ag,2.5679971727823547,5.69,95Cd
95Cd,0.046166241308446834,5.69,95In
