,e-Folding Time (seconds),Average beta-decay energy,Daughter
218Ra,3.7380228509433046e-05,5.69,218Ac
218Ac,1.4426950408889634e-06,5.69,218Th
218Th,1.7600879498845356e-07,5.69,218Pa
218Pa,0.00015581106441600804,5.69,218U
218U,0.0005107140444746931,5.69,218Np
