,e-Folding Time (seconds),Average beta-decay energy,Daughter
176Ta,42017.05037085018,388.0,176W
176W,12984.255368000673,5.69,176Re
176Re,458.7770230026904,5.69,176Os
176Os,311.62212883201613,5.69,176Ir
176Ir,12.551446855733982,5.69,176Pt
176Pt,9.13225960882714,5.69,176Au
176Au,1.5148297929334118,5.69,176Hg
176Hg,0.02928670933004596,5.69,176Tl
176Tl,0.008944709253511575,5.69,176Pb
