,e-Folding Time (seconds),Average beta-decay energy,Daughter
236Pu,130119004.05789788,5613.17,236Am
236Am,311.62212883201613,5.69,236Cm
236Cm,588.6195766826971,5.69,236Bk
236Bk,37.510071063113045,5.69,236Cf
