,e-Folding Time (seconds),Average beta-decay energy,Daughter
200Os,10.098865286222745,5.69,200Ir
200Ir,62.03588675822543,5.69,200Pt
200Pt,65440.64705472337,52.0,200Au
200Au,4189.5863987415505,54.0,200Hg
