,e-Folding Time (seconds),Average beta-decay energy,Daughter
61Cu,17362.5462780905,133.1,61Zn
61Zn,128.54412814320662,5.69,61Ga
61Ga,0.23934310728347902,5.69,61Ge
61Ge,0.05871768816418081,5.69,61As
