,e-Folding Time (seconds),Average beta-decay energy,Daughter
155Tm,31.16221288320161,5.69,155Yb
155Yb,2.586752208313911,5.69,155Lu
155Lu,0.09810326278044952,5.69,155Hf
155Hf,1.2161919194693962,5.69,155Ta
155Ta,0.004616624130844683,5.69,155W
