,e-Folding Time (seconds),Average beta-decay energy,Daughter
256Es,39472.13631872205,5.69,256Fm
256Fm,13598.84345541937,5.69,256Md
256Md,6725.8442806243465,5.69,256No
256No,4.198242568986883,5.69,256Lr
256Lr,40.25119164080208,5.69,256Rf
256Rf,0.009521787269867157,5.69,256Db
256Db,2.4525815695112376,5.69,256Sg
