,e-Folding Time (seconds),Average beta-decay energy,Daughter
118Mo,0.030296595858668233,5.69,118Tc
118Tc,0.043280851226668894,5.69,118Ru
118Ru,0.14282680904800735,5.69,118Rh
118Rh,0.40684000153068767,5.69,118Pd
118Pd,2.74112057768903,5.69,118Ag
118Ag,5.424533353742502,5.69,118Cd
118Cd,4354.053633402891,5.69,118In
118In,7.213475204444817,5.69,118Sn
