,e-Folding Time (seconds),Average beta-decay energy,Daughter
67V,0.011541560327111709,5.69,67Cr
67Cr,0.015869645449778598,5.69,67Mn
67Mn,0.0673738584095146,5.69,67Fe
67Fe,0.5684218461102516,5.69,67Co
67Co,0.47464666845246894,5.69,67Ni
67Ni,30.296595858668226,5.69,67Cu
67Cu,321126.60376139253,51.0,67Zn
