,e-Folding Time (seconds),Average beta-decay energy,Daughter
55Co,91045.59864042072,94.53,55Ni
55Ni,0.29416551883725967,5.69,55Cu
55Cu,0.08064665278569305,5.69,55Zn
55Zn,0.028565361809601477,5.69,55Ga
