,e-Folding Time (seconds),Average beta-decay energy,Daughter
249Cm,5552.933212381621,65.0,249Bk
249Bk,40785104.22153427,32.4,249Cf
249Cf,15980325550.847502,5.69,249Es
249Es,8846.605990731125,5.69,249Fm
249Fm,138.49872392534047,5.69,249Md
249Md,36.93299304675746,5.69,249No
249No,8.223361733067093e-05,5.69,249Lr
