,e-Folding Time (seconds),Average beta-decay energy,Daughter
65Ti,0.0014426950408889636,5.69,65V
65V,0.020197730572445487,5.69,65Cr
65Cr,0.03967411362444649,5.69,65Mn
65Mn,0.13258367425769577,5.69,65Fe
65Fe,1.1613695079156154,5.69,65Co
65Co,1.673526247431197,5.69,65Ni
65Ni,13075.145155576676,128.4,65Cu
