,e-Folding Time (seconds),Average beta-decay energy,Daughter
237Th,415.4961717760214,5.69,237Pa
237Pa,753.0868113440388,5.69,237U
237U,841629.045549509,38.98,237Np
237Np,97612.0170399346,4386.0,237Pu
237Pu,5688973.583957287,10.3,237Am
237Am,6370.9413005656625,6042.0,237Cm
