,e-Folding Time (seconds),Average beta-decay energy,Daughter
174Dy,1.4426950408889634,5.69,174Ho
174Ho,5.337971651289165,5.69,174Er
174Er,276.99744785068094,5.69,174Tm
174Tm,467.43319324802417,5.69,174Yb
