FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 19:06:04
PROJECTILE       : H 
TARGET           : Ba
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     8.826855E+00
  1.149757E-03     9.500647E+00
  1.321941E-03     1.022863E+01
  1.519911E-03     1.101585E+01
  1.747528E-03     1.186719E+01
  2.009233E-03     1.278848E+01
  2.310130E-03     1.378607E+01
  2.656088E-03     1.486652E+01
  3.053856E-03     1.603768E+01
  3.511192E-03     1.730777E+01
  4.037017E-03     1.868572E+01
  4.641589E-03     2.018230E+01
  5.336699E-03     2.180850E+01
  6.135907E-03     2.357757E+01
  7.054802E-03     2.550515E+01
  8.111308E-03     2.760854E+01
  9.326033E-03     2.991101E+01
  1.072267E-02     3.244407E+01
  1.232847E-02     3.524771E+01
  1.417474E-02     3.955744E+01
  1.629751E-02     4.397747E+01
  1.873817E-02     4.622601E+01
  2.154435E-02     4.764120E+01
  2.477076E-02     4.851762E+01
  2.848036E-02     4.904367E+01
  3.274549E-02     4.928552E+01
  3.764936E-02     4.928833E+01
  4.328761E-02     4.909118E+01
  4.977024E-02     4.871232E+01
  5.722368E-02     4.816055E+01
  6.579332E-02     4.744840E+01
  7.564633E-02     4.658055E+01
  8.697490E-02     4.557250E+01
  1.000000E-01     4.443984E+01
  1.149757E-01     4.319002E+01
  1.321941E-01     4.185637E+01
  1.519911E-01     4.045675E+01
  1.747528E-01     3.901355E+01
  2.009233E-01     3.752785E+01
  2.310130E-01     3.602576E+01
  2.656088E-01     3.451083E+01
  3.053856E-01     3.298354E+01
  3.511192E-01     3.144487E+01
  4.037017E-01     2.989510E+01
  4.641589E-01     2.833386E+01
  5.336699E-01     2.676379E+01
  6.135907E-01     2.518934E+01
  7.054802E-01     2.362066E+01
  8.111308E-01     2.206971E+01
  9.326033E-01     2.054905E+01
  1.072267E+00     1.907194E+01
  1.232847E+00     1.765615E+01
  1.417474E+00     1.630725E+01
  1.629751E+00     1.503230E+01
  1.873817E+00     1.383712E+01
  2.154435E+00     1.272097E+01
  2.477076E+00     1.168435E+01
  2.848036E+00     1.072218E+01
  3.274549E+00     9.830532E+00
  3.764936E+00     9.004158E+00
  4.328761E+00     8.239538E+00
  4.977024E+00     7.529579E+00
  5.722368E+00     6.873517E+00
  6.579332E+00     6.266985E+00
  7.564633E+00     5.707208E+00
  8.697490E+00     5.191553E+00
  1.000000E+01     4.716196E+00
  1.149757E+01     4.282631E+00
  1.321941E+01     3.880059E+00
  1.519911E+01     3.513911E+00
  1.747528E+01     3.179932E+00
  2.009233E+01     2.874783E+00
  2.310130E+01     2.597518E+00
  2.656088E+01     2.345732E+00
  3.053856E+01     2.117567E+00
  3.511192E+01     1.911256E+00
  4.037017E+01     1.724759E+00
  4.641589E+01     1.556673E+00
  5.336699E+01     1.405404E+00
  6.135907E+01     1.269464E+00
  7.054802E+01     1.147495E+00
  8.111308E+01     1.038471E+00
  9.326033E+01     9.406976E-01
  1.072267E+02     8.534332E-01
  1.232847E+02     7.759953E-01
  1.417474E+02     7.069569E-01
  1.629751E+02     6.457258E-01
  1.873817E+02     5.916057E-01
  2.154435E+02     5.436880E-01
  2.477076E+02     5.015229E-01
  2.848036E+02     4.646351E-01
  3.274549E+02     4.323802E-01
  3.764936E+02     4.043232E-01
  4.328761E+02     3.800337E-01
  4.977024E+02     3.592542E-01
  5.722368E+02     3.415143E-01
  6.579332E+02     3.264980E-01
  7.564633E+02     3.139700E-01
  8.697490E+02     3.035847E-01
  1.000000E+03     2.949710E-01
