FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 09/08/2022 00:39:19
PROJECTILE       : Ac
TARGET           : Ag
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     2.619934E+02
  1.149757E-03     2.808646E+02
  1.321941E-03     3.011161E+02
  1.519911E-03     3.228508E+02
  1.747528E-03     3.461777E+02
  2.009233E-03     3.711812E+02
  2.310130E-03     3.981004E+02
  2.656088E-03     4.269698E+02
  3.053856E-03     4.579686E+02
  3.511192E-03     4.912655E+02
  4.037017E-03     5.270424E+02
  4.641589E-03     5.654914E+02
  5.336699E-03     6.068210E+02
  6.135907E-03     6.512570E+02
  7.054802E-03     6.990472E+02
  8.111308E-03     7.504553E+02
  9.326033E-03     8.057572E+02
  1.072267E-02     8.652850E+02
  1.232847E-02     9.293453E+02
  1.417474E-02     9.982831E+02
  1.629751E-02     1.072472E+03
  1.873817E-02     1.152320E+03
  2.154435E-02     1.238213E+03
  2.477076E-02     1.330585E+03
  2.848036E-02     1.429881E+03
  3.274549E-02     1.536572E+03
  3.764936E-02     1.651134E+03
  4.328761E-02     1.774098E+03
  4.977024E-02     1.906030E+03
  5.722368E-02     2.047563E+03
  6.579332E-02     2.199387E+03
  7.564633E-02     2.362268E+03
  8.697490E-02     2.537063E+03
  1.000000E-01     2.724664E+03
  1.149757E-01     2.926178E+03
  1.321941E-01     3.142842E+03
  1.519911E-01     3.375673E+03
  1.747528E-01     3.625566E+03
  2.009233E-01     3.893621E+03
  2.310130E-01     4.181350E+03
  2.656088E-01     4.490715E+03
  3.053856E-01     4.824166E+03
  3.511192E-01     5.184522E+03
  4.037017E-01     5.573833E+03
  4.641589E-01     5.992249E+03
  5.336699E-01     6.441439E+03
  6.135907E-01     6.925701E+03
  7.054802E-01     7.443404E+03
  8.111308E-01     7.986320E+03
  9.326033E-01     8.542951E+03
  1.072267E+00     9.099118E+03
  1.232847E+00     9.640216E+03
  1.417474E+00     1.015302E+04
  1.629751E+00     1.062698E+04
  1.873817E+00     1.105532E+04
  2.154435E+00     1.143497E+04
  2.477076E+00     1.176588E+04
  2.848036E+00     1.204937E+04
  3.274549E+00     1.228782E+04
  3.764936E+00     1.248148E+04
  4.328761E+00     1.263080E+04
  4.977024E+00     1.273465E+04
  5.722368E+00     1.279232E+04
  6.579332E+00     1.280302E+04
  7.564633E+00     1.276697E+04
  8.697490E+00     1.268519E+04
  1.000000E+01     1.255962E+04
  1.149757E+01     1.239218E+04
  1.321941E+01     1.218507E+04
  1.519911E+01     1.193992E+04
  1.747528E+01     1.165860E+04
  2.009233E+01     1.134305E+04
  2.310130E+01     1.099492E+04
  2.656088E+01     1.061669E+04
  3.053856E+01     1.021090E+04
  3.511192E+01     9.781016E+03
  4.037017E+01     9.330811E+03
  4.641589E+01     8.864908E+03
  5.336699E+01     8.388296E+03
  6.135907E+01     7.906205E+03
  7.054802E+01     7.424708E+03
  8.111308E+01     6.949321E+03
  9.326033E+01     6.484631E+03
  1.072267E+02     6.036229E+03
  1.232847E+02     5.608192E+03
  1.417474E+02     5.203989E+03
  1.629751E+02     4.826520E+03
  1.873817E+02     4.477446E+03
  2.154435E+02     4.157765E+03
  2.477076E+02     3.867778E+03
  2.848036E+02     3.607185E+03
  3.274549E+02     3.375002E+03
  3.764936E+02     3.169874E+03
  4.328761E+02     2.990270E+03
  4.977024E+02     2.834418E+03
  5.722368E+02     2.700449E+03
  6.579332E+02     2.586410E+03
  7.564633E+02     2.490287E+03
  8.697490E+02     2.410197E+03
  1.000000E+03     2.343496E+03
