,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
51,10,3.0,13.0,Li,-nn,56980.895,70.003,3507.6307,5.3848,B-,23321.8152,70.7391,13.061171503,75.150
52,9,4.0,13.0,Be,-n,33659.080,10.180,5241.4359,0.7831,B-,17097.1315,10.2295,13.036134506,10.929
53,8,5.0,13.0,B,-nn,16561.948,1.000,6496.4194,0.0769,B-,13436.9387,1.0001,13.017779981,1.073
54,7,6.0,13.0,C,NA,3125.00933,0.00023,7469.8495,0.0002,B-,-2220.4718,0.2695,13.00335483534,0.00025
55,6,7.0,13.0,N,-p,5345.481,0.270,7238.8634,0.0207,B-,-17769.9506,9.5301,13.005738609,0.289
56,5,8.0,13.0,O,+3n,23115.432,9.526,5811.7636,0.7328,B-,-18915.0,500#,13.024815435,10.226
57,4,9.0,13.0,F,x,42030#,500#,4297#,38#,B-,*,NA,13.045121,537#
58,10,4.0,14.0,Be,x,39954.502,132.245,4993.8973,9.4461,B-,16290.8166,133.9357,14.04289292,141.970
59,9,5.0,14.0,B,NA,23663.686,21.213,6101.6451,1.5152,B-,20643.7926,21.2133,14.02540401,22.773
60,8,6.0,14.0,C,NA,3019.89328,0.00375,7520.3198,0.0004,B-,156.4765,0.0037,14.00324198862,0.00403
61,7,7.0,14.0,N,NA,2863.41683,0.00022,7475.6148,0.0002,B-,-5144.3643,0.0252,14.00307400425,0.00024
62,6,8.0,14.0,O,NA,8007.781,0.025,7052.2783,0.0018,B-,-23956.6215,41.1187,14.008596706,0.027
63,5,9.0,14.0,F,-p,31964.403,41.119,5285.2091,2.9371,B-,*,NA,14.034315196,44.142
64,11,4.0,15.0,Be,-n,49825.821,165.797,4540.9708,11.0532,B-,20868.4411,167.1256,15.053490215,177.990
65,10,5.0,15.0,B,NA,28957.379,21.029,5880.0438,1.4019,B-,19084.2343,21.0442,15.031087023,22.575
66,9,6.0,15.0,C,-n,9873.145,0.800,7100.1696,0.0533,B-,9771.7071,0.8000,15.010599256,0.858
67,8,7.0,15.0,N,NA,101.43809,0.00058,7699.4603,0.0002,B-,-2754.1841,0.4902,15.00010889827,0.00062
68,7,8.0,15.0,O,NA,2855.622,0.490,7463.6915,0.0327,B-,-13711.13,14.0086,15.003065636,0.526
69,6,9.0,15.0,F,-p,16566.752,14.000,6497.4597,0.9333,B-,-23648.6215,68.1377,15.017785139,15.029
70,5,10.0,15.0,Ne,-pp,40215.374,66.684,4868.7285,4.4456,B-,*,NA,15.043172977,71.588
71,12,4.0,16.0,Be,-nn,57447.139,165.797,4285.2851,10.3623,B-,20335.4399,167.6075,16.061672036,177.990
72,11,5.0,16.0,B,NA,37111.699,24.566,5507.3535,1.5354,B-,23417.5656,24.8254,16.039841045,26.373
73,10,6.0,16.0,C,-nn,13694.133,3.578,6922.0546,0.2236,B-,8010.226,4.2540,16.014701255,3.840
74,9,7.0,16.0,N,-n,5683.907,2.301,7373.7971,0.1438,B-,10420.9094,2.3014,16.006101925,2.470
75,8,8.0,16.0,O,NA,-4737.00217,0.00030,7976.2072,0.0002,B-,-15412.184,5.3642,15.99491461926,0.00032
76,7,9.0,16.0,F,NA,10675.182,5.364,6964.0490,0.3353,B-,-13311.5932,21.1709,16.011460278,5.758
77,6,10.0,16.0,Ne,--,23986.775,20.480,6083.1777,1.2800,B-,*,NA,16.02575086,21.986
78,12,5.0,17.0,B,x,43716.322,204.104,5269.6677,12.0061,B-,22684.4422,204.8410,17.046931399,219.114
79,11,6.0,17.0,C,2p-n,21031.880,17.365,6558.0262,1.0215,B-,13161.8007,22.9464,17.02257865,18.641
