,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
533,35,23.0,58.0,V,x,-40430.584,95.816,8458.1560,1.6520,B-,11561.224,95.8625,57.956595985,102.862
534,34,24.0,58.0,Cr,x,-51991.808,2.981,8643.9987,0.0514,B-,3835.7607,4.0227,57.944184501,3.200
535,33,25.0,58.0,Mn,x,-55827.568,2.701,8696.6438,0.0466,B-,6327.7027,2.7198,57.940066643,2.900
536,32,26.0,58.0,Fe,NA,-62155.271,0.316,8792.2534,0.0055,B-,-2307.9785,1.1389,57.933273575,0.339
537,31,27.0,58.0,Co,NA,-59847.292,1.153,8738.9719,0.0199,B-,381.5789,1.1071,57.935751292,1.237
538,30,28.0,58.0,Ni,NA,-60228.871,0.349,8732.0621,0.0060,B-,-8561.0204,0.4425,57.93534165,0.374
539,29,29.0,58.0,Cu,NA,-51667.851,0.564,8570.9696,0.0097,B-,-9368.9796,50.0020,57.944532283,0.604
540,28,30.0,58.0,Zn,--,-42298.871,50.001,8395.9467,0.8621,B-,-18759.0,304#,57.954590296,53.678
541,27,31.0,58.0,Ga,x,-23540#,300#,8059#,5#,B-,-15960.0,583#,57.974728999999996,322#
542,26,32.0,58.0,Ge,x,-7580#,500#,7770#,9#,B-,*,NA,57.991863,537#
543,40,19.0,59.0,K,x,28750#,800#,7332#,14#,B-,22940.0,1000#,59.030864,859#
544,39,20.0,59.0,Ca,x,5810#,600#,7708#,10#,B-,16639.0,650#,59.006237,644#
545,38,21.0,59.0,Sc,x,-10829.550,249.640,7976.4073,4.2312,B-,15050.0,390#,58.988374,268.000
546,37,22.0,59.0,Ti,x,-25880#,300#,8218#,5#,B-,11731.0,330#,58.972217,322#
547,36,23.0,59.0,V,x,-37610.617,137.400,8403.8034,2.3288,B-,10505.3137,137.4021,58.959623343,147.505
548,35,24.0,59.0,Cr,x,-48115.931,0.671,8568.5995,0.0114,B-,7409.3977,2.4234,58.948345426,0.720
549,34,25.0,59.0,Mn,x,-55525.328,2.329,8680.9224,0.0395,B-,5139.629,2.3520,58.940391111,2.500
550,33,26.0,59.0,Fe,NA,-60664.957,0.330,8754.7746,0.0056,B-,1564.8804,0.3690,58.934873492,0.354
551,32,27.0,59.0,Co,NA,-62229.838,0.397,8768.0379,0.0067,B-,-1073.005,0.1944,58.933193524,0.426
552,31,28.0,59.0,Ni,NA,-61156.833,0.351,8736.5912,0.0060,B-,-4798.3786,0.3973,58.934345442,0.376
553,30,29.0,59.0,Cu,NA,-56358.454,0.528,8642.0027,0.0090,B-,-9142.776,0.6018,58.939496713,0.566
554,29,30.0,59.0,Zn,NA,-47215.678,0.759,8473.7802,0.0129,B-,-13456.0,170#,58.949311886,0.814
555,28,31.0,59.0,Ga,x,-33760#,170#,8232#,3#,B-,-17390.0,434#,58.963757,183#
556,27,32.0,59.0,Ge,x,-16370#,400#,7924#,7#,B-,*,NA,58.982426,429#
557,40,20.0,60.0,Ca,x,11000#,700#,7627#,12#,B-,15550.0,860#,60.011809,751#
558,39,21.0,60.0,Sc,x,-4550#,500#,7873#,8#,B-,17549.0,555#,59.995115,537#
559,38,22.0,60.0,Ti,x,-22099.698,240.325,8152.7858,4.0054,B-,10987.704,301.4311,59.976275,258.000
560,37,23.0,60.0,V,x,-33087.402,181.946,8322.8751,3.0324,B-,13821.0986,181.9496,59.964479215,195.327
561,36,24.0,60.0,Cr,x,-46908.500,1.118,8540.1876,0.0186,B-,6059.4457,2.5831,59.949641656,1.200
562,35,25.0,60.0,Mn,x,-52967.946,2.329,8628.1392,0.0388,B-,8445.2283,4.1261,59.943136574,2.500
563,34,26.0,60.0,Fe,-nn,-61413.174,3.406,8755.8539,0.0568,B-,237.2633,3.4106,59.934070249,3.656
564,33,27.0,60.0,Co,-n,-61650.437,0.403,8746.7692,0.0067,B-,2822.8058,0.2124,59.933815536,0.433
565,32,28.0,60.0,Ni,NA,-64473.243,0.353,8780.7769,0.0059,B-,-6127.981,1.5735,59.930785129,0.378
566,31,29.0,60.0,Cu,-,-58345.262,1.613,8665.6047,0.0269,B-,-4170.7922,1.6286,59.937363787,1.731
567,30,30.0,60.0,Zn,NA,-54174.47,0.548,8583.0524,0.0091,B-,-14584.0,200#,59.941841317,0.588
568,29,31.0,60.0,Ga,x,-39590#,200#,8327#,3#,B-,-12060.0,361#,59.957498,215#
569,28,32.0,60.0,Ge,x,-27530#,300#,8113#,5#,B-,-21890.0,500#,59.970445,322#
570,27,33.0,60.0,As,x,-5640#,400#,7735#,7#,B-,*,NA,59.993945,429#
571,41,20.0,61.0,Ca,x,19010#,800#,7503#,13#,B-,18510.0,1000#,61.020408,859#
572,40,21.0,61.0,Sc,x,500#,600#,7794#,10#,B-,16870.0,671#,61.000537,644#
573,39,22.0,61.0,Ti,x,-16370#,300#,8058#,5#,B-,13807.0,381#,60.982426,322#
574,38,23.0,61.0,V,x,-30177.121,234.920,8271.0417,3.8511,B-,12319.3807,234.9272,60.967603529,252.196
575,37,24.0,61.0,Cr,x,-42496.502,1.863,8460.1734,0.0305,B-,9245.6277,2.9822,60.95437813,2.000
576,36,25.0,61.0,Mn,x,-51742.130,2.329,8598.9157,0.0382,B-,7178.373,3.4965,60.944452541,2.500
577,35,26.0,61.0,Fe,x,-58920.503,2.608,8703.7686,0.0428,B-,3977.6759,2.7399,60.936746241,2.800
578,34,27.0,61.0,Co,p2n,-62898.179,0.839,8756.1510,0.0138,B-,1323.8504,0.7899,60.932476031,0.901
579,33,28.0,61.0,Ni,NA,-64222.029,0.355,8765.0281,0.0058,B-,-2237.9663,0.9617,60.931054819,0.381
580,32,29.0,61.0,Cu,p2n,-61984.063,0.951,8715.5148,0.0156,B-,-5635.1565,15.9028,60.933457375,1.020
581,31,30.0,61.0,Zn,NA,-56348.906,15.899,8610.3098,0.2606,B-,-9214.2438,37.6786,60.939506964,17.068
582,30,31.0,61.0,Ga,NA,-47134.662,37.994,8446.4313,0.6228,B-,-13345.0,302#,60.949398861,40.787
583,29,32.0,61.0,Ge,x,-33790#,300#,8215#,5#,B-,-16590.0,424#,60.963725,322#
584,28,33.0,61.0,As,x,-17200#,300#,7930#,5#,B-,*,NA,60.981535,322#
585,41,21.0,62.0,Sc,x,7310#,600#,7688#,10#,B-,19510.0,721#,62.007848,644#
586,40,22.0,62.0,Ti,x,-12200#,400#,7990#,6#,B-,13013.0,479#,61.986903,429#
587,39,23.0,62.0,V,x,-25213.164,264.287,8187.7565,4.2627,B-,15639.4478,264.3094,61.972932556,283.723
588,38,24.0,62.0,Cr,x,-40852.611,3.447,8427.3871,0.0556,B-,7671.3532,7.3947,61.95614292,3.700
589,37,25.0,62.0,Mn,IT,-48523.965,6.542,8538.5002,0.1055,B-,10354.092,7.1142,61.947907384,7.023
590,36,26.0,62.0,Fe,x,-58878.057,2.794,8692.8831,0.0451,B-,2546.3427,18.7834,61.936791809,3.000
591,35,27.0,62.0,Co,+,-61424.399,18.574,8721.3347,0.2996,B-,5322.0404,18.5695,61.934058198,19.940
592,34,28.0,62.0,Ni,NA,-66746.44,0.425,8794.5555,0.0069,B-,-3958.8965,0.4751,61.928344753,0.455
593,33,29.0,62.0,Cu,-,-62787.543,0.637,8718.0839,0.0103,B-,-1619.4548,0.6507,61.932594803,0.683
594,32,30.0,62.0,Zn,NA,-61168.088,0.615,8679.3451,0.0099,B-,-9181.0666,0.3763,61.934333359,0.660
595,31,31.0,62.0,Ga,NA,-51987.022,0.637,8518.6449,0.0103,B-,-9847.0,140#,61.944189639,0.684
596,30,32.0,62.0,Ge,x,-42140#,140#,8347#,2#,B-,-17720.0,331#,61.954761,150#
597,29,33.0,62.0,As,x,-24420#,300#,8049#,5#,B-,*,NA,61.973784,322#
598,42,21.0,63.0,Sc,x,13070#,700#,7603#,11#,B-,18930.0,860#,63.014031,751#
599,41,22.0,63.0,Ti,x,-5860#,500#,7891#,8#,B-,15880.0,605#,62.993709,537#
600,40,23.0,63.0,V,x,-21740.141,339.995,8130.7809,5.3968,B-,14438.1586,347.6720,62.976661,365.000
601,39,24.0,63.0,Cr,x,-36178.299,72.657,8347.5398,1.1533,B-,10708.7611,72.7520,62.961161,78.000
602,38,25.0,63.0,Mn,x,-46887.061,3.726,8505.1020,0.0591,B-,8748.5685,5.6915,62.949664672,4.000
603,37,26.0,63.0,Fe,NA,-55635.629,4.302,8631.5499,0.0683,B-,6215.9238,19.0668,62.940272698,4.618
604,36,27.0,63.0,Co,NA,-61851.553,18.575,8717.7972,0.2948,B-,3661.3385,18.5704,62.93359963,19.941
605,35,28.0,63.0,Ni,NA,-65512.891,0.426,8763.4955,0.0068,B-,66.9768,0.0149,62.929669021,0.457
606,34,29.0,63.0,Cu,NA,-65579.868,0.426,8752.1404,0.0068,B-,-3366.4392,1.5450,62.929597119,0.457
607,33,30.0,63.0,Zn,NA,-62213.429,1.560,8686.2866,0.0248,B-,-5666.3294,2.0330,62.93321114,1.674
608,32,31.0,63.0,Ga,x,-56547.100,1.304,8583.9267,0.0207,B-,-9625.8787,37.2826,62.939294194,1.400
609,31,32.0,63.0,Ge,x,-46921.221,37.260,8418.7167,0.5914,B-,-13421.0,204#,62.949628,40.000
610,30,33.0,63.0,As,x,-33500#,200#,8193#,3#,B-,-16650.0,539#,62.964036,215#
611,29,34.0,63.0,Se,x,-16850#,500#,7917#,8#,B-,*,NA,62.981911,537#
612,42,22.0,64.0,Ti,x,-1480#,600#,7826#,9#,B-,14840.0,721#,63.998411,644#
613,41,23.0,64.0,V,x,-16320#,400#,8045#,6#,B-,17320.0,500#,63.98248,429#
614,40,24.0,64.0,Cr,x,-33639.978,299.941,8303.5626,4.6866,B-,9349.0622,299.9620,63.963886,322.000
615,39,25.0,64.0,Mn,x,-42989.040,3.540,8437.4175,0.0553,B-,11980.5117,6.1402,63.953849369,3.800
616,38,26.0,64.0,Fe,x,-54969.552,5.017,8612.3888,0.0784,B-,4822.8898,20.6249,63.940987761,5.386
617,37,27.0,64.0,Co,+,-59792.442,20.005,8675.5223,0.3126,B-,7306.5921,20.0000,63.935810176,21.476
618,36,28.0,64.0,Ni,NA,-67099.034,0.463,8777.4637,0.0072,B-,-1674.6156,0.2055,63.927966228,0.497
619,35,29.0,64.0,Cu,NA,-65424.418,0.427,8739.0736,0.0067,B-,579.5996,0.6447,63.929764001,0.458
620,34,30.0,64.0,Zn,NA,-66004.018,0.644,8735.9057,0.0101,B-,-7171.1912,1.4825,63.929141776,0.690
621,33,31.0,64.0,Ga,NA,-58832.827,1.429,8611.6317,0.0223,B-,-4517.3237,3.9905,63.936840366,1.533
622,32,32.0,64.0,Ge,x,-54315.503,3.726,8528.8243,0.0582,B-,-14783.0,203#,63.941689912,4.000
623,31,33.0,64.0,As,-p,-39532#,203#,8286#,3#,B-,-12673.0,540#,63.95756,218#
624,30,34.0,64.0,Se,x,-26860#,500#,8075#,8#,B-,*,NA,63.971165,537#
625,43,22.0,65.0,Ti,x,5210#,700#,7726#,11#,B-,17320.0,860#,65.005593,751#
626,42,23.0,65.0,V,x,-12110#,500#,7981#,8#,B-,16200.0,539#,64.986999,537#
627,41,24.0,65.0,Cr,x,-28310#,200#,8218#,3#,B-,12657.0,200#,64.969608,215#
628,40,25.0,65.0,Mn,x,-40967.344,3.726,8400.6822,0.0573,B-,10250.5576,6.3257,64.956019749,4.000
629,39,26.0,65.0,Fe,x,-51217.902,5.112,8546.3470,0.0786,B-,7967.3036,5.5198,64.945015323,5.487
630,38,27.0,65.0,Co,x,-59185.205,2.083,8656.8848,0.0320,B-,5940.5911,2.1379,64.936462071,2.235
631,37,28.0,65.0,Ni,-n,-65125.796,0.483,8736.2424,0.0074,B-,2137.8808,0.6997,64.930084585,0.518
632,36,29.0,65.0,Cu,NA,-67263.677,0.643,8757.0967,0.0099,B-,-1351.6527,0.3557,64.927789476,0.690
633,35,30.0,65.0,Zn,NA,-65912.024,0.646,8724.2660,0.0099,B-,-3254.538,0.6305,64.929240534,0.693
634,34,31.0,65.0,Ga,NA,-62657.486,0.791,8662.1601,0.0122,B-,-6179.2631,2.3046,64.932734424,0.849
635,33,32.0,65.0,Ge,NA,-56478.223,2.165,8555.0584,0.0333,B-,-9541.167,84.7936,64.939368136,2.323
636,32,33.0,65.0,As,x,-46937.056,84.766,8396.2351,1.3041,B-,-13917.0,312#,64.949611,91.000
637,31,34.0,65.0,Se,x,-33020#,300#,8170#,5#,B-,-16529.0,583#,64.964552,322#
638,30,35.0,65.0,Br,x,-16490#,500#,7904#,8#,B-,*,NA,64.982297,537#
639,43,23.0,66.0,V,x,-6300#,500#,7894#,8#,B-,18840.0,583#,65.993237,537#
640,42,24.0,66.0,Cr,x,-25140#,300#,8168#,5#,B-,11610.0,300#,65.973011,322#
641,41,25.0,66.0,Mn,x,-36750.392,11.178,8331.7986,0.1694,B-,13317.4543,11.9056,65.960546833,12.000
642,40,26.0,66.0,Fe,x,-50067.847,4.099,8521.7245,0.0621,B-,6340.6944,14.5611,65.946249958,4.400
643,39,27.0,66.0,Co,x,-56408.541,13.972,8605.9419,0.2117,B-,9597.7522,14.0421,65.939442943,15.000
644,38,28.0,66.0,Ni,x,-66006.293,1.397,8739.5086,0.0212,B-,251.9958,1.5405,65.929139333,1.500
645,37,29.0,66.0,Cu,NA,-66258.289,0.649,8731.4730,0.0098,B-,2640.9396,0.9255,65.928868804,0.696
646,36,30.0,66.0,Zn,NA,-68899.229,0.744,8759.6335,0.0113,B-,-5175.5,0.8000,65.926033639,0.798
647,35,31.0,66.0,Ga,-,-63723.729,1.092,8669.3631,0.0166,B-,-2116.6879,2.6376,65.931589766,1.172
648,34,32.0,66.0,Ge,x,-61607.041,2.401,8625.4383,0.0364,B-,-9581.957,6.1685,65.933862124,2.577
649,33,33.0,66.0,As,x,-52025.084,5.682,8468.4034,0.0861,B-,-10365.0,200#,65.944148778,6.100
650,32,34.0,66.0,Se,x,-41660#,200#,8300#,3#,B-,-18091.0,447#,65.955276,215#
651,31,35.0,66.0,Br,x,-23570#,400#,8014#,6#,B-,*,NA,65.974697,429#
652,44,23.0,67.0,V,x,-1744#,600#,7829#,9#,B-,17526.0,721#,66.998128,644#
653,43,24.0,67.0,Cr,x,-19270#,400#,8079#,6#,B-,14311.0,447#,66.979313,429#
654,42,25.0,67.0,Mn,x,-33580#,200#,8281#,3#,B-,12128.0,200#,66.96395,215#
655,41,26.0,67.0,Fe,x,-45708.416,3.819,8449.9359,0.0570,B-,9613.3678,7.4900,66.95093,4.100
656,40,27.0,67.0,Co,x,-55321.783,6.443,8581.7422,0.0962,B-,8420.9047,7.0607,66.940609625,6.917
657,39,28.0,67.0,Ni,x,-63742.688,2.888,8695.7505,0.0431,B-,3576.8654,3.0223,66.931569413,3.100
658,38,29.0,67.0,Cu,NA,-67319.553,0.892,8737.4597,0.0133,B-,560.8226,0.8296,66.92772949,0.957
659,37,30.0,67.0,Zn,NA,-67880.376,0.755,8734.1534,0.0113,B-,-1001.2201,1.1196,66.927127422,0.810
660,36,31.0,67.0,Ga,NA,-66879.156,1.176,8707.5330,0.0176,B-,-4205.438,4.4066,66.928202276,1.262
661,35,32.0,67.0,Ge,NA,-62673.718,4.319,8633.0884,0.0645,B-,-6086.4858,4.3418,66.932716999,4.636
662,34,33.0,67.0,As,NA,-56587.232,0.443,8530.5685,0.0066,B-,-10006.9381,67.0690,66.93925111,0.475
663,33,34.0,67.0,Se,x,-46580.294,67.068,8369.5344,1.0010,B-,-14051.0,307#,66.949994,72.000
664,32,35.0,67.0,Br,x,-32530#,300#,8148#,4#,B-,-16978.0,520#,66.965078,322#
665,31,36.0,67.0,Kr,-pp,-15552#,424#,7883#,6#,B-,*,NA,66.983305,455#
666,44,24.0,68.0,Cr,x,-15690#,500#,8026#,7#,B-,13230.0,583#,67.983156,537#
667,43,25.0,68.0,Mn,x,-28920#,300#,8209#,4#,B-,14977.0,356#,67.968953,322#
668,42,26.0,68.0,Fe,x,-43897#,193#,8418#,3#,B-,7746.0,193#,67.952875,207#
669,41,27.0,68.0,Co,NA,-51642.591,3.859,8520.1301,0.0567,B-,11821.2318,4.8760,67.944559401,4.142
670,40,28.0,68.0,Ni,x,-63463.822,2.981,8682.4667,0.0438,B-,2103.2205,3.3753,67.931868787,3.200
671,39,29.0,68.0,Cu,x,-65567.043,1.584,8701.8913,0.0233,B-,4440.1115,1.7645,67.929610887,1.700
672,38,30.0,68.0,Zn,NA,-70007.154,0.778,8755.6820,0.0115,B-,-2921.1,1.2000,67.924844232,0.835
673,37,31.0,68.0,Ga,-,-67086.054,1.430,8701.2195,0.0210,B-,-107.2555,2.3594,67.927980161,1.535
674,36,32.0,68.0,Ge,x,-66978.799,1.876,8688.1371,0.0276,B-,-8084.2715,2.6320,67.928095305,2.014
675,35,33.0,68.0,As,NA,-58894.527,1.846,8557.7457,0.0271,B-,-4705.0786,1.9112,67.936774127,1.981
676,34,34.0,68.0,Se,x,-54189.449,0.496,8477.0482,0.0073,B-,-15398.0,259#,67.941825236,0.532
677,33,35.0,68.0,Br,-p,-38791#,259#,8239#,4#,B-,-13165.0,563#,67.958356,278#
678,32,36.0,68.0,Kr,x,-25626#,500#,8034#,7#,B-,*,NA,67.972489,537#
679,45,24.0,69.0,Cr,x,-9630#,500#,7939#,7#,B-,15730.0,640#,68.989662,537#
680,44,25.0,69.0,Mn,x,-25360#,400#,8155#,6#,B-,13839.0,447#,68.972775,429#
681,43,26.0,69.0,Fe,x,-39199#,200#,8345#,3#,B-,11186.0,218#,68.957918,215#
682,42,27.0,69.0,Co,x,-50385.447,85.697,8495.4062,1.2420,B-,9593.2084,85.7784,68.945909,92.000
683,41,28.0,69.0,Ni,x,-59978.656,3.726,8623.0998,0.0540,B-,5757.565,3.9793,68.935610267,4.000
684,40,29.0,69.0,Cu,x,-65736.221,1.397,8695.2044,0.0203,B-,2681.6854,1.6075,68.929429267,1.500
685,39,30.0,69.0,Zn,-n,-68417.906,0.795,8722.7311,0.0115,B-,909.9134,1.4234,68.92655036,0.853
686,38,31.0,69.0,Ga,NA,-69327.82,1.197,8724.5798,0.0174,B-,-2227.1455,0.5500,68.925573528,1.285
687,37,32.0,69.0,Ge,NA,-67100.674,1.318,8680.9640,0.0191,B-,-3988.4927,31.9822,68.927964467,1.414
688,36,33.0,69.0,As,NA,-63112.181,31.999,8611.8214,0.4638,B-,-6677.4672,32.0215,68.932246289,34.352
689,35,34.0,69.0,Se,NA,-56434.714,1.490,8503.7082,0.0216,B-,-10175.2364,42.0293,68.939414845,1.599
690,34,35.0,69.0,Br,-p,-46259.478,42.003,8344.9026,0.6087,B-,-14119.0,303#,68.95033841,45.091
691,33,36.0,69.0,Kr,x,-32140#,300#,8129#,4#,B-,*,NA,68.965496,322#
692,46,24.0,70.0,Cr,x,-5640#,600#,7884#,9#,B-,14810.0,781#,69.993945,644#
693,45,25.0,70.0,Mn,x,-20450#,500#,8084#,7#,B-,16440.0,583#,69.978046,537#
694,44,26.0,70.0,Fe,x,-36890#,300#,8308#,4#,B-,9635.0,300#,69.960397,322#
695,43,27.0,70.0,Co,x,-46524.963,10.992,8434.1980,0.1570,B-,12688.9049,11.1987,69.9500534,11.800
696,42,28.0,70.0,Ni,x,-59213.868,2.144,8604.2917,0.0306,B-,3762.5123,2.4011,69.9364313,2.301
697,41,29.0,70.0,Cu,x,-62976.381,1.082,8646.8655,0.0155,B-,6588.3675,2.2018,69.932392078,1.161
698,40,30.0,70.0,Zn,NA,-69564.748,1.918,8729.8086,0.0274,B-,-654.5979,1.5737,69.925319175,2.058
699,39,31.0,70.0,Ga,NA,-68910.15,1.201,8709.2808,0.0172,B-,1651.8861,1.4520,69.926021914,1.289
700,38,32.0,70.0,Ge,NA,-70562.036,0.820,8721.7028,0.0117,B-,-6228.063,1.6200,69.924248542,0.880
701,37,33.0,70.0,As,x,-64333.973,1.397,8621.5541,0.0200,B-,-2404.0737,2.1118,69.930934642,1.500
702,36,34.0,70.0,Se,x,-61929.900,1.584,8576.0338,0.0226,B-,-10504.2727,14.9878,69.933515521,1.700
703,35,35.0,70.0,Br,x,-51425.627,14.904,8414.7964,0.2129,B-,-10325.0,201#,69.944792321,16.000
704,34,36.0,70.0,Kr,x,-41100#,200#,8256#,3#,B-,*,NA,69.955877,215#
705,46,25.0,71.0,Mn,x,-16620#,500#,8030#,7#,B-,15310.0,640#,70.982158,537#
706,45,26.0,71.0,Fe,x,-31930#,400#,8235#,6#,B-,12440.0,613#,70.965722,429#
707,44,27.0,71.0,Co,x,-44369.930,465.030,8398.7344,6.5497,B-,11036.3053,465.0353,70.952366923,499.230
708,43,28.0,71.0,Ni,x,-55406.236,2.237,8543.1564,0.0315,B-,7304.8989,2.6879,70.940518962,2.401
709,42,29.0,71.0,Cu,x,-62711.134,1.490,8635.0233,0.0210,B-,4617.6517,3.0437,70.932676831,1.600
710,41,30.0,71.0,Zn,NA,-67328.786,2.654,8689.0417,0.0374,B-,2810.3405,2.7748,70.927719578,2.849
711,40,31.0,71.0,Ga,NA,-70139.127,0.811,8717.6050,0.0114,B-,-232.4698,0.0934,70.924702554,0.870
712,39,32.0,71.0,Ge,NA,-69906.657,0.815,8703.3118,0.0115,B-,-2013.4,4.0825,70.92495212,0.874
713,38,33.0,71.0,As,-,-67893.257,4.163,8663.9350,0.0586,B-,-4746.742,5.0140,70.927113594,4.469
714,37,34.0,71.0,Se,x,-63146.515,2.794,8586.0606,0.0394,B-,-6644.0883,6.0820,70.932209431,3.000
715,36,35.0,71.0,Br,NA,-56502.426,5.402,8481.4629,0.0761,B-,-10175.2155,128.8452,70.939342153,5.799
716,35,36.0,71.0,Kr,NA,-46327.211,128.769,8327.1310,1.8136,B-,-14037.0,420#,70.950265695,138.238
717,34,37.0,71.0,Rb,x,-32290#,400#,8118#,6#,B-,*,NA,70.965335,429#
718,47,25.0,72.0,Mn,x,-11170#,600#,7955#,8#,B-,18080.0,781#,71.988009,644#
719,46,26.0,72.0,Fe,x,-29250#,500#,8195#,7#,B-,11050.0,583#,71.968599,537#
720,45,27.0,72.0,Co,x,-40300#,300#,8338#,4#,B-,13926.0,300#,71.956736,322#
721,44,28.0,72.0,Ni,x,-54226.068,2.237,8520.2118,0.0311,B-,5556.9381,2.6374,71.941785924,2.401
722,43,29.0,72.0,Cu,x,-59783.006,1.397,8586.5256,0.0194,B-,8362.4883,2.5578,71.935820306,1.500
723,42,30.0,72.0,Zn,x,-68145.495,2.142,8691.8053,0.0298,B-,442.7892,2.2934,71.926842806,2.300
724,41,31.0,72.0,Ga,NA,-68588.284,0.818,8687.0893,0.0114,B-,3997.6263,0.8217,71.926367452,0.878
725,40,32.0,72.0,Ge,NA,-72585.91,0.076,8731.7459,0.0011,B-,-4356.1019,4.0825,71.922075824,0.081
726,39,33.0,72.0,As,-,-68229.808,4.083,8660.3786,0.0567,B-,-361.6194,4.5276,71.926752291,4.383
727,38,34.0,72.0,Se,x,-67868.189,1.956,8644.4902,0.0272,B-,-8806.4384,2.2083,71.927140506,2.100
728,37,35.0,72.0,Br,x,-59061.750,1.025,8511.3126,0.0142,B-,-5121.1683,8.0761,71.936594606,1.100
729,36,36.0,72.0,Kr,x,-53940.582,8.011,8429.3193,0.1113,B-,-15611.0,500#,71.942092406,8.600
730,35,37.0,72.0,Rb,x,-38330#,500#,8202#,7#,B-,*,NA,71.958851,537#
731,48,25.0,73.0,Mn,x,-6700#,600#,7895#,8#,B-,17289.0,781#,72.992807,644#
732,47,26.0,73.0,Fe,x,-23990#,500#,8121#,7#,B-,13980.0,583#,72.974246,537#
733,46,27.0,73.0,Co,x,-37970#,300#,8302#,4#,B-,12139.0,300#,72.959238,322#
734,45,28.0,73.0,Ni,x,-50108.159,2.423,8457.6529,0.0332,B-,8879.2856,3.1038,72.946206681,2.601
735,44,29.0,73.0,Cu,NA,-58987.445,1.942,8568.5699,0.0266,B-,6605.9659,2.6910,72.936674376,2.084
736,43,30.0,73.0,Zn,x,-65593.411,1.863,8648.3455,0.0255,B-,4105.9329,2.5064,72.92958258,2.000
737,42,31.0,73.0,Ga,x,-69699.343,1.677,8693.8740,0.0230,B-,1598.1889,1.6777,72.92517468,1.800
738,41,32.0,73.0,Ge,NA,-71297.532,0.057,8705.0500,0.0008,B-,-344.7759,3.8528,72.923458954,0.061
739,40,33.0,73.0,As,NA,-70952.757,3.853,8689.6099,0.0528,B-,-2725.3604,7.3993,72.923829086,4.136
740,39,34.0,73.0,Se,NA,-68227.396,7.424,8641.5591,0.1017,B-,-4581.6095,10.0278,72.926754881,7.969
741,38,35.0,73.0,Br,NA,-63645.787,6.741,8568.0803,0.0923,B-,-7094.0287,9.4187,72.931673441,7.237
742,37,36.0,73.0,Kr,x,-56551.758,6.578,8460.1847,0.0901,B-,-10540.1468,41.3212,72.939289193,7.061
743,36,37.0,73.0,Rb,-p,-46011.611,40.794,8305.0821,0.5588,B-,-14061.0,403#,72.950604506,43.794
744,35,38.0,73.0,Sr,x,-31950#,401#,8102#,5#,B-,*,NA,72.9657,430#
745,48,26.0,74.0,Fe,x,-20660#,500#,8076#,7#,B-,12881.0,640#,73.977821,537#
746,47,27.0,74.0,Co,x,-33540#,400#,8239#,5#,B-,15160.0,447#,73.963993,429#
747,46,28.0,74.0,Ni,x,-48700#,200#,8433#,3#,B-,7306.0,200#,73.947718,215#
748,45,29.0,74.0,Cu,x,-56006.213,6.148,8521.5633,0.0831,B-,9750.5077,6.6424,73.93987486,6.600
749,44,30.0,74.0,Zn,x,-65756.720,2.515,8642.7547,0.0340,B-,2292.9057,3.9102,73.92940726,2.700
750,43,31.0,74.0,Ga,x,-68049.626,2.994,8663.1676,0.0405,B-,5372.8249,2.9941,73.926945725,3.214
751,42,32.0,74.0,Ge,NA,-73422.451,0.013,8725.2011,0.0003,B-,-2562.3871,1.6931,73.92117776,0.013
752,41,33.0,74.0,As,NA,-70860.064,1.693,8680.0020,0.0229,B-,1353.1467,1.6931,73.923928596,1.817
753,40,34.0,74.0,Se,NA,-72213.21,0.015,8687.7155,0.0003,B-,-6925.0492,5.8354,73.922475933,0.015
754,39,35.0,74.0,Br,NA,-65288.161,5.835,8583.5615,0.0789,B-,-2956.3173,6.1730,73.929910279,6.264
755,38,36.0,74.0,Kr,NA,-62331.844,2.013,8533.0390,0.0272,B-,-10415.828,3.4240,73.933084016,2.161
756,37,37.0,74.0,Rb,NA,-51916.016,3.027,8381.7123,0.0409,B-,-11089.0,100#,73.944265867,3.249
757,36,38.0,74.0,Sr,x,-40827#,100#,8221#,1#,B-,*,NA,73.95617,107#
758,49,26.0,75.0,Fe,x,-14700#,600#,7996#,8#,B-,15861.0,721#,74.984219,644#
759,48,27.0,75.0,Co,x,-30560#,400#,8197#,5#,B-,13680.0,447#,74.967192,429#
760,47,28.0,75.0,Ni,x,-44240#,200#,8369#,3#,B-,10230.0,200#,74.952506,215#
761,46,29.0,75.0,Cu,NA,-54470.219,0.718,8495.0801,0.0096,B-,8088.6967,2.0837,74.941523817,0.770
762,45,30.0,75.0,Zn,x,-62558.916,1.956,8592.4981,0.0261,B-,5901.7231,2.0679,74.932840244,2.100
763,44,31.0,75.0,Ga,x,-68460.639,0.671,8660.7565,0.0089,B-,3396.3337,0.6727,74.926504484,0.720
764,43,32.0,75.0,Ge,-n,-71856.973,0.052,8695.6096,0.0007,B-,1177.2301,0.8851,74.92285837,0.055
765,42,33.0,75.0,As,NA,-73034.203,0.884,8700.8748,0.0118,B-,-864.7139,0.8816,74.921594562,0.948
766,41,34.0,75.0,Se,NA,-72169.489,0.073,8678.9139,0.0010,B-,-3062.4694,4.2855,74.92252287,0.078
